source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
ROUTER-CAMPUS-YANUNCAY,AGRPRI-1A-D10,Campus Yanuncay,Campus Yanuncay,wan,agregacion,inferido,"Uplink MPLS del campus (inferido del informe, no visible en los diagramas)",,10000,estimada_10G_WAN_MPLS,True
INTERNET-MPLS,HOS-0A-D05,Nube MPLS,Campus Hospitalidad,wan,agregacion,inferido,"Uplink MPLS del campus (inferido del informe, no visible en los diagramas)",,10000,estimada_10G_WAN_MPLS,True
INTERNET-MPLS,CCJ-CJURIDICO-D4,Nube MPLS,Campus Central,wan,agregacion,inferido,"Uplink MPLS (inferido del informe, no visible en los diagramas)",,10000,estimada_10G_WAN_MPLS,True
DATCC-2A-C2,DATCC-2A-C3,Campus Central,Campus Central,core,core,principal,Enlace entre Cores: lag256 1.89 Gbps,,10000,estimada_10G_troncal,False
CC-AETUC-D30,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag207 74.03 Mbps,,10000,estimada_10G_troncal,False
CC-AETUC-D30,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,respaldo,C3: lag207 0 bps,,10000,estimada_10G_troncal,False
CC-ARQUITECTURA-D107,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag206 398.39 Mbps,,10000,estimada_10G_troncal,False
CC-ARQUITECTURA-D107,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,respaldo,C3: lag206 0 bps,,10000,estimada_10G_troncal,False
CC-BIBLIOTECA-D112,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag205 458.15 Mbps,,10000,estimada_10G_troncal,False
CC-BIBLIOTECA-D112,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,respaldo,C3: lag205 0 bps,,10000,estimada_10G_troncal,False
CC-BLOQUE-IQ,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag210 0 bps,,10000,estimada_10G_troncal,False
CC-BLOQUE-IQ,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag210 494.31 Mbps,,10000,estimada_10G_troncal,False
CC-PROMAS-D31,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag209 117.47 Mbps,,10000,estimada_10G_troncal,False
CC-PROMAS-D31,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,respaldo,C3: lag209 0 bps,,10000,estimada_10G_troncal,False
CC-QUIMICA-D109,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag211 103.31 Mbps,,10000,estimada_10G_troncal,False
CC-QUIMICA-D109,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,respaldo,C3: lag211 0 bps,,10000,estimada_10G_troncal,False
CC-ADM-D40,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,principal,C2: lag208 100.93 Mbps,,10000,estimada_10G_troncal,False
CC-ADM-D40,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag208 82.82 Mbps,,10000,estimada_10G_troncal,False
CC-FILOSOFIA-B-D111,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag216 181.8 Mbps,,10000,estimada_10G_troncal,False
CC-FILOSOFIA-B-D111,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag216 0 bps,,10000,estimada_10G_troncal,False
CC-JURISPRUDENCIA-D110,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag217 130.98 Mbps,,10000,estimada_10G_troncal,False
CC-JURISPRUDENCIA-D110,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,secundario,C2: lag217 74.45 Mbps,,10000,estimada_10G_troncal,False
CC-PSICOLOGIA-D125,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag215 265.28 Mbps,,10000,estimada_10G_troncal,False
CC-PSICOLOGIA-D125,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag215 0 bps,,10000,estimada_10G_troncal,False
CC-FILOSOFIA-A-D108,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag214 220.7 Mbps,,10000,estimada_10G_troncal,False
