nodo,campus,capa,carga_inicial
DATCC-2A-C3,Campus Central,core,0.4467722892187181
CPAR-C10,Campus Paraiso,core,0.4042857142857143
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,0.36629779942279944
INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111
PE2-CENTRAL,Campus Central,wan,0.2881219593898162
DT-0A-C13,Campus Balzay,core,0.2235036332714906
FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,0.18628854875283454
DATCC-2A-C2,Campus Central,core,0.17059910327767486
FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,0.1490211296639867
PE2-BALZAY,Campus Balzay,wan,0.14603666769738194
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,0.1277922077922078
AGRPRI-1A-D10,Campus Yanuncay,agregacion,0.12142857142857143
CC-ARQUITECTURA-D107,Campus Central,agregacion,0.12123376623376624
BAL-AUL2-D1,Campus Balzay,agregacion,0.11071428571428571
ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,0.10182251082251086
CP-EADMINA1-D6,Campus Paraiso,agregacion,0.0890909090909091
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,0.08883116883116883
DT-0A-C12,Campus Balzay,core,0.08331761492475781
CC-MONJAS-D126,Campus Central,agregacion,0.07811688311688311
PE1-CENTRAL,Campus Central,wan,0.06750984333127186
CP-POSGRADO-D2,Campus Paraiso,agregacion,0.06714285714285714
CB-EADMI-D6,Campus Balzay,agregacion,0.06701298701298701
CC-ECONOMIA-D51,Campus Central,agregacion,0.06701298701298701
CC-ADM-D40,Campus Central,agregacion,0.05616883116883117
BAL-CENTEC-D2,Campus Balzay,agregacion,0.05616883116883117
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,0.0561038961038961
CP-TECMEDICO-D3,Campus Paraiso,agregacion,0.0561038961038961
CC-FILOSOFIA-A-D108,Campus Central,agregacion,0.055974025974025975
BAL-AUL1-D4,Campus Balzay,agregacion,0.045064935064935065
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,0.045064935064935065
HOS-0A-D05,Campus Hospitalidad,agregacion,0.045064935064935065
CC-QUIMICA-D109,Campus Central,agregacion,0.045
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,0.03383116883116883
CC-AETUC-D30,Campus Central,agregacion,0.03383116883116883
CC-PROMAS-D31,Campus Central,agregacion,0.03383116883116883
CC-PSICOLOGIA-D125,Campus Central,agregacion,0.02266233766233766
TECQUI-0A-A10,Campus Central,acceso,0.02266233766233766
CC-FILOSOFIA-B-D111,Campus Central,agregacion,0.02266233766233766
CC-BIBLIOTECA-D112,Campus Central,agregacion,0.02266233766233766
ODO-0C-A53,Campus Paraiso,acceso,0.02266233766233766
CCJ-CJURIDICO-D4,Campus Central,agregacion,0.02266233766233766
BAL-EADM-D3,Campus Balzay,agregacion,0.0225974025974026
POST-1A-A64,Campus Central,acceso,0.0225974025974026
ROUTER-L2TP-BALZAY,Campus Balzay,wan,0.014206709956709961
ODO-0B-A52,Campus Paraiso,acceso,0.011363636363636364
PRO-1A-A73,Campus Central,acceso,0.011363636363636364
POST-1A-A65,Campus Central,acceso,0.011363636363636364
ENF-2B-A22,Campus Paraiso,acceso,0.011363636363636364
MON-1B-A67,Campus Central,acceso,0.011363636363636364
POS-2C-A33,Campus Paraiso,acceso,0.011363636363636364
INV-1B-A62,Campus Paraiso,acceso,0.011363636363636364
AETUC-0A-A76,Campus Central,acceso,0.011363636363636364
TECMED-1A-A41,Campus Paraiso,acceso,0.011363636363636364
QUI-2A-A82,Campus Central,acceso,0.011363636363636364
ARQ-0D-A88,Campus Central,acceso,0.011363636363636364
ARQ-1E-A91,Campus Central,acceso,0.011363636363636364
ARQ-0A-A85,Campus Central,acceso,0.011363636363636364
QUIN-1A-A117,Campus Balzay,acceso,0.011363636363636364
SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,0.009650613275613283
SW-ARUBA-MUSEO,Sede Museo,acceso,0.00722943722943723
PE1-BALZAY,Campus Balzay,wan,0.005585497835497831
