nodo,distancia,campus,capa
DATCC-2A-C3,0,Campus Central,core
CC-ADM-D40,1,Campus Central,agregacion
CC-AETUC-D30,1,Campus Central,agregacion
CC-ARQUITECTURA-D107,1,Campus Central,agregacion
CC-BIBLIOTECA-D112,1,Campus Central,agregacion
CC-BLOQUE-IQ,1,Campus Central,agregacion
CC-ECONOMIA-D51,1,Campus Central,agregacion
CC-FILOSOFIA-A-D108,1,Campus Central,agregacion
CC-FILOSOFIA-B-D111,1,Campus Central,agregacion
CC-JURISPRUDENCIA-D110,1,Campus Central,agregacion
CC-MONJAS-D126,1,Campus Central,agregacion
CC-PROMAS-D31,1,Campus Central,agregacion
CC-PSICOLOGIA-D125,1,Campus Central,agregacion
CC-QUIMICA-D109,1,Campus Central,agregacion
DATCC-2A-C2,1,Campus Central,core
FORTIGATE-1800F-CENTRAL,1,Campus Central,interconexion
PE2-CENTRAL,1,Campus Central,wan
SW-ARUBA-CENTRO-HISTORICO,1,Sede Centro Historico,acceso
TEAT-0A-A75,2,Campus Central,acceso
CMED-0A-A42,2,Campus Central,acceso
CCADM-2A-A43,2,Campus Central,acceso
CCADM-2A-A44,2,Campus Central,acceso
CCADM-2A-A45,2,Campus Central,acceso
AETUC-0A-A76,2,Campus Central,acceso
AETUC-0A-A97,2,Campus Central,acceso
ARQ-0A-A85,2,Campus Central,acceso
ARQ-0B-A87,2,Campus Central,acceso
ARQ-0D-A88,2,Campus Central,acceso
ARQ-0D-A90,2,Campus Central,acceso
ARQ-0G-A93-CEPAUC,2,Campus Central,acceso
ARQ-1C-A86,2,Campus Central,acceso
ARQ-1C-A96,2,Campus Central,acceso
ARQ-1E-A91,2,Campus Central,acceso
CCBIB-1A-A71,2,Campus Central,acceso
VIN-0A-A72,2,Campus Central,acceso
ECOK2-1A-A52,2,Campus Central,acceso
ECOK1-1A-A101,2,Campus Central,acceso
ECOK1-1A-A102,2,Campus Central,acceso
TECQUI-0A-A10,2,Campus Central,acceso
POST-1A-A64,2,Campus Central,acceso
FILOA-0B-A56,2,Campus Central,acceso
FILOA-2A-A55,2,Campus Central,acceso
FILOB-2A-A57,2,Campus Central,acceso
FILOB-1B-A58,2,Campus Central,acceso
JUR-0A-A59,2,Campus Central,acceso
JUR-0A-A60,2,Campus Central,acceso
JUR-1A-A61,2,Campus Central,acceso
JUR-1A-A62,2,Campus Central,acceso
MON-0A-A103,2,Campus Central,acceso
MON-0A-A104,2,Campus Central,acceso
MON-1C-A105,2,Campus Central,acceso
MON-1C-A106,2,Campus Central,acceso
MON-1B-A67,2,Campus Central,acceso
ECOK3-0A-A63,2,Campus Central,acceso
PRO-1A-A73,2,Campus Central,acceso
CREDU-0B-A94,2,Campus Central,acceso
PSIC-1A-A53,2,Campus Central,acceso
PSIC-2B-A54,2,Campus Central,acceso
QUI-1A-A83,2,Campus Central,acceso
QUI-0A-A78,2,Campus Central,acceso
QUI-2A-A82,2,Campus Central,acceso
SW-ARUBA-MUSEO,2,Sede Museo,acceso
FORTIGATE-1800F-BALZAY,2,Campus Balzay,interconexion
PE1-CENTRAL,2,Campus Central,wan
INTERNET-MPLS,2,Nube MPLS,wan
PE1-BALZAY,2,Campus Balzay,wan
ROUTER-CAMPUS-PARAISO,2,Campus Paraiso,wan
ROUTER-CAMPUS-CENTRO-HISTORICO,2,Sede Centro Historico,wan
AETUCCF-2A-A79,3,Campus Central,acceso
ARQ-0A-A84,3,Campus Central,acceso
ARQ-0D-A89,3,Campus Central,acceso
ARQ-1E-A92,3,Campus Central,acceso
TECQUI-0A-A11,3,Campus Central,acceso
TECQUI-0A-A12,3,Campus Central,acceso
POST-1A-A65,3,Campus Central,acceso
MON-1B-A68,3,Campus Central,acceso
PRO-3A-A74,3,Campus Central,acceso
QUI-2A-A81,3,Campus Central,acceso
ROUTER-CAMPUS-MUSEO,3,Sede Museo,wan
