source,target,rol,capa_u,capa_v,trafico_mbps_original,capacidad_mbps_original,capacidad_mbps_modelo,fuente_capacidad,trafico_mbps_modelo,trafico_imputado,w_saltos,w_latencia,w_carga
ROUTER-CAMPUS-YANUNCAY,AGRPRI-1A-D10,inferido,wan,agregacion,,,10000.0,estimada_10G_WAN_interconexion,164.8,True,1.0,1.1,0.01648
INTERNET-MPLS,HOS-0A-D05,inferido,wan,agregacion,,,10000.0,estimada_10G_WAN_interconexion,164.8,True,1.0,1.1,0.01648
INTERNET-MPLS,CCJ-CJURIDICO-D4,inferido,wan,agregacion,,,10000.0,estimada_10G_WAN_interconexion,164.8,True,1.0,1.1,0.01648
DATCC-2A-C2,DATCC-2A-C3,principal,core,core,1890.0,,10000.0,estimada_10G_troncal_core,1890.0,False,1.0,1.1,0.189
CC-AETUC-D30,DATCC-2A-C2,principal,agregacion,core,74.03,,10000.0,estimada_10G_troncal_core,74.03,False,1.0,1.1,0.007403
CC-AETUC-D30,DATCC-2A-C3,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-ARQUITECTURA-D107,DATCC-2A-C2,principal,agregacion,core,398.39,,10000.0,estimada_10G_troncal_core,398.39,False,1.0,1.1,0.039839
CC-ARQUITECTURA-D107,DATCC-2A-C3,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-BIBLIOTECA-D112,DATCC-2A-C2,principal,agregacion,core,458.15,,10000.0,estimada_10G_troncal_core,458.15,False,1.0,1.1,0.045814999999999995
CC-BIBLIOTECA-D112,DATCC-2A-C3,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-BLOQUE-IQ,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-BLOQUE-IQ,DATCC-2A-C3,principal,agregacion,core,494.31,,10000.0,estimada_10G_troncal_core,494.31,False,1.0,1.1,0.049431
CC-PROMAS-D31,DATCC-2A-C2,principal,agregacion,core,117.47,,10000.0,estimada_10G_troncal_core,117.47,False,1.0,1.1,0.011747
CC-PROMAS-D31,DATCC-2A-C3,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-QUIMICA-D109,DATCC-2A-C2,principal,agregacion,core,103.31,,10000.0,estimada_10G_troncal_core,103.31,False,1.0,1.1,0.010331
CC-QUIMICA-D109,DATCC-2A-C3,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-ADM-D40,DATCC-2A-C2,principal,agregacion,core,100.93,,10000.0,estimada_10G_troncal_core,100.93,False,1.0,1.1,0.010093000000000001
CC-ADM-D40,DATCC-2A-C3,principal,agregacion,core,82.82,,10000.0,estimada_10G_troncal_core,82.82,False,1.0,1.1,0.008282
CC-FILOSOFIA-B-D111,DATCC-2A-C3,principal,agregacion,core,181.8,,10000.0,estimada_10G_troncal_core,181.8,False,1.0,1.1,0.01818
CC-FILOSOFIA-B-D111,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-JURISPRUDENCIA-D110,DATCC-2A-C3,principal,agregacion,core,130.98,,10000.0,estimada_10G_troncal_core,130.98,False,1.0,1.1,0.013097999999999999
CC-JURISPRUDENCIA-D110,DATCC-2A-C2,secundario,agregacion,core,74.45,,10000.0,estimada_10G_troncal_core,74.45,False,1.0,1.1,0.007445
CC-PSICOLOGIA-D125,DATCC-2A-C3,principal,agregacion,core,265.28,,10000.0,estimada_10G_troncal_core,265.28,False,1.0,1.1,0.026527999999999996
CC-PSICOLOGIA-D125,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-FILOSOFIA-A-D108,DATCC-2A-C3,principal,agregacion,core,220.7,,10000.0,estimada_10G_troncal_core,220.7,False,1.0,1.1,0.02207
CC-FILOSOFIA-A-D108,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-MONJAS-D126,DATCC-2A-C3,principal,agregacion,core,256.51,,10000.0,estimada_10G_troncal_core,256.51,False,1.0,1.1,0.025651
CC-MONJAS-D126,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
CC-ECONOMIA-D51,DATCC-2A-C3,principal,agregacion,core,346.27,,10000.0,estimada_10G_troncal_core,346.27,False,1.0,1.1,0.034627
CC-ECONOMIA-D51,DATCC-2A-C2,respaldo,agregacion,core,0.0,,10000.0,estimada_10G_troncal_core,0.0,False,1.0,1.1,0.0
POST-1A-A64,CC-FILOSOFIA-A-D108,principal,acceso,agregacion,200.42,,1000.0,estimada_1G_acceso_agregacion,200.42,False,1.0,2.0,0.20042
CC-ADM-D40,TEAT-0A-A75,principal,agregacion,acceso,8.2,,1000.0,estimada_1G_acceso_agregacion,8.2,False,1.0,2.0,0.008199999999999999
CC-ADM-D40,CMED-0A-A42,principal,agregacion,acceso,7.97,,1000.0,estimada_1G_acceso_agregacion,7.97,False,1.0,2.0,0.00797
CC-ADM-D40,CCADM-2A-A43,principal,agregacion,acceso,24.53,,1000.0,estimada_1G_acceso_agregacion,24.53,False,1.0,2.0,0.02453
CC-ADM-D40,CCADM-2A-A44,principal,agregacion,acceso,105.36,,1000.0,estimada_1G_acceso_agregacion,105.36,False,1.0,2.0,0.10536
CC-ADM-D40,CCADM-2A-A45,principal,agregacion,acceso,8.28,,1000.0,estimada_1G_acceso_agregacion,8.28,False,1.0,2.0,0.00828
CC-AETUC-D30,AETUC-0A-A76,principal,agregacion,acceso,59.19,,1000.0,estimada_1G_acceso_agregacion,59.19,False,1.0,2.0,0.05919
CC-AETUC-D30,AETUC-0A-A97,principal,agregacion,acceso,37.7,,1000.0,estimada_1G_acceso_agregacion,37.7,False,1.0,2.0,0.037700000000000004
AETUC-0A-A76,AETUCCF-2A-A79,principal,acceso,acceso,51.9,,1000.0,estimada_1G_acceso,51.9,False,1.0,2.0,0.0519
CC-ECONOMIA-D51,ECOK2-1A-A52,principal,agregacion,acceso,36.58,,1000.0,estimada_1G_acceso_agregacion,36.58,False,1.0,2.0,0.03658
CC-ECONOMIA-D51,ECOK1-1A-A101,principal,agregacion,acceso,5.73,,1000.0,estimada_1G_acceso_agregacion,5.73,False,1.0,2.0,0.005730000000000001
CC-ECONOMIA-D51,ECOK1-1A-A102,principal,agregacion,acceso,268.16,,1000.0,estimada_1G_acceso_agregacion,268.16,False,1.0,2.0,0.26816
CC-FILOSOFIA-A-D108,FILOA-0B-A56,principal,agregacion,acceso,39.4,,1000.0,estimada_1G_acceso_agregacion,39.4,False,1.0,2.0,0.0394
CC-FILOSOFIA-A-D108,FILOA-2A-A55,principal,agregacion,acceso,33.78,,1000.0,estimada_1G_acceso_agregacion,33.78,False,1.0,2.0,0.033780000000000004
CC-FILOSOFIA-B-D111,FILOB-2A-A57,principal,agregacion,acceso,99.58,,1000.0,estimada_1G_acceso_agregacion,99.58,False,1.0,2.0,0.09958
CC-FILOSOFIA-B-D111,FILOB-1B-A58,principal,agregacion,acceso,63.51,,1000.0,estimada_1G_acceso_agregacion,63.51,False,1.0,2.0,0.06351
CC-JURISPRUDENCIA-D110,JUR-0A-A59,principal,agregacion,acceso,11.47,,1000.0,estimada_1G_acceso_agregacion,11.47,False,1.0,2.0,0.011470000000000001
CC-JURISPRUDENCIA-D110,JUR-0A-A60,principal,agregacion,acceso,4.37,,1000.0,estimada_1G_acceso_agregacion,4.37,False,1.0,2.0,0.00437
CC-JURISPRUDENCIA-D110,JUR-1A-A61,principal,agregacion,acceso,60.21,,1000.0,estimada_1G_acceso_agregacion,60.21,False,1.0,2.0,0.06021
CC-JURISPRUDENCIA-D110,JUR-1A-A62,principal,agregacion,acceso,55.03,,1000.0,estimada_1G_acceso_agregacion,55.03,False,1.0,2.0,0.05503
CC-PSICOLOGIA-D125,PSIC-1A-A53,principal,agregacion,acceso,126.27,,1000.0,estimada_1G_acceso_agregacion,126.27,False,1.0,2.0,0.12627
CC-PSICOLOGIA-D125,PSIC-2B-A54,principal,agregacion,acceso,71.19,,1000.0,estimada_1G_acceso_agregacion,71.19,False,1.0,2.0,0.07119
POST-1A-A64,POST-1A-A65,principal,acceso,acceso,34.23,,1000.0,estimada_1G_acceso,34.23,False,1.0,2.0,0.03423
POST-1A-A65,POST-2A-A66,principal,acceso,acceso,2.67,,1000.0,estimada_1G_acceso,2.67,False,1.0,2.0,0.00267
CC-ARQUITECTURA-D107,ARQ-0A-A85,principal,agregacion,acceso,80.54,,1000.0,estimada_1G_acceso_agregacion,80.54,False,1.0,2.0,0.08054
ARQ-0A-A85,ARQ-0A-A84,principal,acceso,acceso,2.94,,1000.0,estimada_1G_acceso,2.94,False,1.0,2.0,0.00294
CC-ARQUITECTURA-D107,ARQ-0B-A87,principal,agregacion,acceso,9.87,,1000.0,estimada_1G_acceso_agregacion,9.87,False,1.0,2.0,0.009869999999999999
CC-ARQUITECTURA-D107,ARQ-1C-A86,principal,agregacion,acceso,9.98,,1000.0,estimada_1G_acceso_agregacion,9.98,False,1.0,2.0,0.009980000000000001
CC-ARQUITECTURA-D107,ARQ-1C-A96,principal,agregacion,acceso,51.55,,1000.0,estimada_1G_acceso_agregacion,51.55,False,1.0,2.0,0.05155
CC-ARQUITECTURA-D107,ARQ-0D-A88,principal,agregacion,acceso,47.14,,1000.0,estimada_1G_acceso_agregacion,47.14,False,1.0,2.0,0.04714
ARQ-0D-A88,ARQ-0D-A89,principal,acceso,acceso,45.32,,1000.0,estimada_1G_acceso,45.32,False,1.0,2.0,0.04532
CC-ARQUITECTURA-D107,ARQ-0D-A90,principal,agregacion,acceso,2.96,,1000.0,estimada_1G_acceso_agregacion,2.96,False,1.0,2.0,0.00296
CC-ARQUITECTURA-D107,ARQ-1E-A91,principal,agregacion,acceso,96.32,,1000.0,estimada_1G_acceso_agregacion,96.32,False,1.0,2.0,0.09631999999999999
ARQ-1E-A91,ARQ-1E-A92,principal,acceso,acceso,96.64,,1000.0,estimada_1G_acceso,96.64,False,1.0,2.0,0.09664
CC-ARQUITECTURA-D107,ARQ-0G-A93-CEPAUC,principal,agregacion,acceso,3.53,,1000.0,estimada_1G_acceso_agregacion,3.53,False,1.0,2.0,0.0035299999999999997
CC-QUIMICA-D109,QUI-1A-A83,principal,agregacion,acceso,55.56,,1000.0,estimada_1G_acceso_agregacion,55.56,False,1.0,2.0,0.055560000000000005
CC-QUIMICA-D109,QUI-0A-A78,respaldo,agregacion,acceso,0.0,,1000.0,estimada_1G_acceso_agregacion,0.0,False,1.0,2.0,0.0
CC-QUIMICA-D109,QUI-2A-A82,principal,agregacion,acceso,2.67,,1000.0,estimada_1G_acceso_agregacion,2.67,False,1.0,2.0,0.00267
QUI-2A-A82,QUI-2A-A81,principal,acceso,acceso,0.00593,,1000.0,estimada_1G_acceso,0.00593,False,1.0,2.0,5.93e-06
CC-PROMAS-D31,PRO-1A-A73,principal,agregacion,acceso,68.74,,1000.0,estimada_1G_acceso_agregacion,68.74,False,1.0,2.0,0.06874
