ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
1,CPAR-C10,Campus Paraiso,core,Núcleo (core),0.4042857142857143,0.9049032897557252,True,1.0,1.0,1,Campus Paraiso,1,41,0.23295454545454541,0.9761904761904759,0.035,1,0,0.0,0.0,0.2262258224389313,0.1,0.2,0.14642857142857138,0.0,0.6726543938675027
2,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,Router WAN de campus,0.36629779942279944,0.8198758254755539,True,1.0,1.0,1,Campus Paraiso,1,42,0.23863636363636365,1.0,0.035,1,0,0.0,0.0,0.20496895636888848,0.1,0.2,0.15,0.0,0.6549689563688885
3,DATCC-2A-C3,Campus Central,core,Núcleo (core),0.4467722892187181,1.0,False,0.6818181818181818,0.6818181818181818,1,Campus Central,2,0,0.0,0.0,0.035,13,12,0.06818181818181818,0.3243243243243243,0.25,0.0,0.13636363636363635,0.0,0.09729729729729729,0.48366093366093366
4,INTERNET-MPLS,Nube MPLS,wan,Salida institucional / nube MPLS,0.3656771541950111,0.8184866497304027,True,0.0,0.0,0,,0,8,0.045454545454545414,0.1904761904761903,0.035,12,11,0.0625,0.2972972972972973,0.2046216624326007,0.1,0.0,0.028571428571428543,0.0891891891891892,0.42238228019321844
5,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,Router WAN de campus,0.1277922077922078,0.2860343196657994,True,1.0,1.0,1,Campus Yanuncay,1,12,0.06818181818181823,0.2857142857142859,0.035,1,0,0.0,0.0,0.07150857991644985,0.1,0.2,0.042857142857142885,0.0,0.41436572277359274
6,AGRPRI-1A-D10,Campus Yanuncay,agregacion,Agregación / distribución,0.12142857142857143,0.27179074073935205,True,1.0,1.0,1,Campus Yanuncay,1,11,0.0625,0.2619047619047619,0.035,1,0,0.0,0.0,0.06794768518483801,0.1,0.2,0.039285714285714285,0.0,0.40723339947055226
7,HOS-0A-D05,Campus Hospitalidad,agregacion,Agregación / distribución,0.045064935064935065,0.10086779362198414,True,1.0,1.0,1,Campus Hospitalidad,4,4,0.022727272727272707,0.09523809523809515,0.035,1,0,0.0,0.0,0.025216948405496036,0.1,0.2,0.014285714285714271,0.0,0.3395026626912104
8,ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,Router WAN de campus,0.004409271284271284,0.009869169128599913,False,0.022727272727272728,0.022727272727272728,1,Campus Central,1,0,0.0,0.0,0.035,38,37,0.21022727272727273,1.0,0.002467292282149978,0.0,0.004545454545454546,0.0,0.3,0.3070127468276045
9,PE2-CENTRAL,Campus Central,wan,Router PE / tránsito WAN,0.2881219593898162,0.6448966651303785,False,0.45454545454545453,0.45454545454545453,1,Campus Central,1,0,0.0,0.0,0.035,6,5,0.028409090909090908,0.13513513513513511,0.16122416628259462,0.0,0.09090909090909091,0.0,0.040540540540540536,0.29267379773222607
10,BAL-AUL2-D1,Campus Balzay,agregacion,Agregación / distribución,0.11071428571428571,0.24780920479176216,True,0.4347826086956521,0.4347826086956521,1,Campus Balzay,10,10,0.05681818181818177,0.23809523809523786,0.035,1,0,0.0,0.0,0.06195230119794054,0.1,0.08695652173913043,0.03571428571428568,0.0,0.28462310865135665
