tau,trigger,campus,capa,fallos_totales,fraccion_afectada,generaciones,supera_20pct
0.0,AETUC-0A-A76,Campus Central,acceso,59,0.3333333333333333,3,True
0.0,AETUC-0A-A97,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,AETUCCF-2A-A79,Campus Central,acceso,55,0.3107344632768362,2,True
0.0,AGRPRI-1A-A19,Campus Yanuncay,acceso,58,0.327683615819209,2,True
0.0,AGRPRI-1A-D10,Campus Yanuncay,agregacion,13,0.07344632768361582,3,False
0.0,ANF-0A-A14,Campus Yanuncay,acceso,58,0.327683615819209,2,True
0.0,ARQ-0A-A84,Campus Central,acceso,55,0.3107344632768362,2,True
0.0,ARQ-0A-A85,Campus Central,acceso,59,0.3333333333333333,3,True
0.0,ARQ-0B-A87,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,ARQ-0D-A88,Campus Central,acceso,59,0.3333333333333333,3,True
0.0,ARQ-0D-A89,Campus Central,acceso,55,0.3107344632768362,2,True
0.0,ARQ-0D-A90,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,ARQ-0G-A93-CEPAUC,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,ARQ-1C-A86,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,ARQ-1C-A96,Campus Central,acceso,56,0.3163841807909605,2,True
0.0,ARQ-1E-A91,Campus Central,acceso,59,0.3333333333333333,3,True
0.0,ARQ-1E-A92,Campus Central,acceso,55,0.3107344632768362,2,True
0.0,ART-0A-A15,Campus Yanuncay,acceso,58,0.327683615819209,2,True
0.0,AUL1-2A-A110,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL1-2A-A111,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL1-3A-A104,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL1-3A-A112,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL2-01A-A24-SUB,Campus Balzay,acceso,54,0.3050847457627119,2,True
0.0,AUL2-0A-A106,Campus Balzay,acceso,54,0.3050847457627119,2,True
