nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
AETUC-0A-A76,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.17688442211055277,0.027104059688696665
AETUC-0A-A97,Campus Central,acceso,1,0.005681818181818182,0.0,0.1765295887662989,0.026413991937849112
AETUCCF-2A-A79,Campus Central,acceso,1,0.005681818181818182,0.0,0.15042735042735042,0.004324770226588255
AGRPRI-1A-A19,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
AGRPRI-1A-D10,Campus Yanuncay,agregacion,12,0.06818181818181818,0.12142857142857143,0.18763326226012794,0.004860623753116772
ANF-0A-A14,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
ARQ-0A-A84,Campus Central,acceso,1,0.005681818181818182,0.0,0.15251299826689774,0.005163725946629241
ARQ-0A-A85,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.1797752808988764,0.03236193577020444
ARQ-0B-A87,Campus Central,acceso,1,0.005681818181818182,0.0,0.17940876656472987,0.03153800280669075
ARQ-0D-A88,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.1797752808988764,0.03236193577020444
ARQ-0D-A89,Campus Central,acceso,1,0.005681818181818182,0.0,0.15251299826689774,0.005163725946629241
ARQ-0D-A90,Campus Central,acceso,1,0.005681818181818182,0.0,0.17940876656472987,0.03153800280669075
ARQ-0G-A93-CEPAUC,Campus Central,acceso,1,0.005681818181818182,0.0,0.17940876656472987,0.03153800280669075
ARQ-1C-A86,Campus Central,acceso,1,0.005681818181818182,0.0,0.17940876656472987,0.03153800280669075
ARQ-1C-A96,Campus Central,acceso,1,0.005681818181818182,0.0,0.17940876656472987,0.03153800280669075
ARQ-1E-A91,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.1797752808988764,0.03236193577020444
ARQ-1E-A92,Campus Central,acceso,1,0.005681818181818182,0.0,0.15251299826689774,0.005163725946629241
ART-0A-A15,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
AUL1-2A-A110,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0012995179973089735
AUL1-2A-A111,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0012995179973089735
AUL1-3A-A104,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0012995179973089735
AUL1-3A-A112,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0012995179973089735
AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-01A-A24-SUB,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
AUL2-0A-A106,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
