ranking_pesos_iguales,nodo,indice_pesos_iguales
1,CPAR-C10,0.7762187531892402
2,ROUTER-CAMPUS-HUAYNA-CAPAC,0.7639751650951108
3,ROUTER-CAMPUS-YANUNCAY,0.5143497210760171
4,AGRPRI-1A-D10,0.5067391005288228
5,INTERNET-MPLS,0.4612520275007781
6,HOS-0A-D05,0.4392211777720159
7,DATCC-2A-C3,0.4012285012285012
8,BAL-AUL2-D1,0.3841374103165304
9,CC-ARQUITECTURA-D107,0.3066518949435588
10,BAL-CENTEC-D2,0.29243206176353176
11,CB-EADMI-D6,0.284657106423971
12,CP-EADMINA1-D6,0.27797725908929055
13,CP-ODONTOLOGIA-D4,0.2778609849756053
14,BAL-AUL1-D4,0.274003786467668
15,CC-MONJAS-D126,0.2683027730241826
16,CP-POSGRADO-D2,0.2586282869590745
17,CC-ECONOMIA-D51,0.2585701499022319
18,CC-ADM-D40,0.24895380089396654
19,CP-INVESTIGACION-D5,0.24892473236554524
20,CP-TECMEDICO-D3,0.24892473236554524
21,CC-FILOSOFIA-A-D108,0.2488665953087026
22,PE2-CENTRAL,0.24691545096219364
23,CC-JURISPRUDENCIA-D110,0.23922117777201585
24,CC-QUIMICA-D109,0.23919210924359455
25,FORTIGATE-1800F-CENTRAL,0.23376161356797218
26,CC-AETUC-D30,0.2294304175932226
27,CC-PROMAS-D31,0.2294304175932226
28,CP-ENFERMERIA-D1,0.2294304175932226
29,CCJ-CJURIDICO-D4,0.22875963503375968
30,BAL-EADM-D3,0.2283353095883423
31,ODO-0C-A53,0.2196687259428506
32,CC-PSICOLOGIA-D125,0.2196687259428506
33,CC-FILOSOFIA-B-D111,0.2196687259428506
34,CC-BIBLIOTECA-D112,0.2196687259428506
35,TECQUI-0A-A10,0.2196687259428506
36,POST-1A-A64,0.21963965741442926
37,QUIN-1A-A117,0.21854454940954904
38,ARQ-0A-A85,0.209848897235636
39,MON-1B-A67,0.209848897235636
40,ODO-0B-A52,0.209848897235636
41,POS-2C-A33,0.209848897235636
42,POST-1A-A65,0.209848897235636
43,INV-1B-A62,0.209848897235636
44,ENF-2B-A22,0.209848897235636
45,ARQ-1E-A91,0.209848897235636
46,ARQ-0D-A88,0.209848897235636
47,PRO-1A-A73,0.209848897235636
48,AETUC-0A-A76,0.209848897235636
49,TECMED-1A-A41,0.209848897235636
50,QUI-2A-A82,0.209848897235636
51,ROUTER-CAMPUS-CENTRO-HISTORICO,0.20651928837117453
52,DATCC-2A-C2,0.165067387884885
53,DT-0A-C13,0.1432958376699643
54,FORTIGATE-1800F-BALZAY,0.13157496898729543
55,PE2-BALZAY,0.10861733703619532
56,ROUTER-CAMPUS-PARAISO,0.09423003911517487
57,DT-0A-C12,0.08594622369317857
58,ROUTER-L2TP-BALZAY,0.08031548349888532
59,PE1-CENTRAL,0.07886979036239639
60,SW-ARUBA-MUSEO,0.06810116102910527
61,ROUTER-CAMPUS-MUSEO,0.06597672918282696
62,SW-ARUBA-CENTRO-HISTORICO,0.05296879719344294
