ranking,grado_nodo,grado_valor,grado_campus,grado_capa,intermediacion_nodo,intermediacion_valor,intermediacion_campus,intermediacion_capa,cercania_nodo,cercania_valor,cercania_campus,cercania_capa,vector_propio_nodo,vector_propio_valor,vector_propio_campus,vector_propio_capa
1,DATCC-2A-C3,0.09659090909090909,Campus Central,core,DATCC-2A-C3,0.4467722892187181,Campus Central,core,INTERNET-MPLS,0.27586206896551724,Nube MPLS,wan,DATCC-2A-C3,0.5021770336472012,Campus Central,core
2,DATCC-2A-C2,0.09090909090909091,Campus Central,core,CPAR-C10,0.4042857142857143,Campus Paraiso,core,DATCC-2A-C3,0.2682926829268293,Campus Central,core,DATCC-2A-C2,0.481777558047485,Campus Central,core
3,AGRPRI-1A-D10,0.06818181818181818,Campus Yanuncay,agregacion,ROUTER-CAMPUS-HUAYNA-CAPAC,0.36629779942279944,Campus Paraiso,wan,PE2-CENTRAL,0.26666666666666666,Campus Central,wan,FORTIGATE-1800F-CENTRAL,0.20054629638839166,Campus Central,interconexion
4,BAL-AUL2-D1,0.06818181818181818,Campus Balzay,agregacion,INTERNET-MPLS,0.3656771541950111,Nube MPLS,wan,FORTIGATE-1800F-CENTRAL,0.25958702064896755,Campus Central,interconexion,CC-ARQUITECTURA-D107,0.19765394822669904,Campus Central,agregacion
5,CC-ARQUITECTURA-D107,0.05681818181818182,Campus Central,agregacion,PE2-CENTRAL,0.2881219593898162,Campus Central,wan,PE1-CENTRAL,0.2561863173216885,Campus Central,wan,CC-MONJAS-D126,0.18545485270489273,Campus Central,agregacion
6,CP-EADMINA1-D6,0.05113636363636364,Campus Paraiso,agregacion,DT-0A-C13,0.2235036332714906,Campus Balzay,core,PE1-BALZAY,0.25106990014265335,Campus Balzay,wan,CC-ADM-D40,0.17990309161084542,Campus Central,agregacion
7,CC-MONJAS-D126,0.045454545454545456,Campus Central,agregacion,FORTIGATE-1800F-CENTRAL,0.18628854875283454,Campus Central,interconexion,DATCC-2A-C2,0.24753867791842477,Campus Central,core,CC-ECONOMIA-D51,0.17506967600657022,Campus Central,agregacion
8,DT-0A-C13,0.045454545454545456,Campus Balzay,core,DATCC-2A-C2,0.17059910327767486,Campus Central,core,ROUTER-CAMPUS-HUAYNA-CAPAC,0.24209078404401652,Campus Paraiso,wan,CC-JURISPRUDENCIA-D110,0.17480342025586842,Campus Central,agregacion
9,INTERNET-MPLS,0.045454545454545456,Nube MPLS,wan,FORTIGATE-1800F-BALZAY,0.1490211296639867,Campus Balzay,interconexion,FORTIGATE-1800F-BALZAY,0.24076607387140903,Campus Balzay,interconexion,CC-FILOSOFIA-A-D108,0.17011068880236171,Campus Central,agregacion
10,BAL-CENTEC-D2,0.03977272727272727,Campus Balzay,agregacion,PE2-BALZAY,0.14603666769738194,Campus Balzay,wan,PE2-BALZAY,0.23848238482384823,Campus Balzay,wan,CC-QUIMICA-D109,0.17010740012970924,Campus Central,agregacion
