modelo,par,origen,destino,distancia_dijkstra,distancia_floyd,coincide
saltos,1,AUL2-0A-A123,ECOK1-1A-A101,7.0,7.0,True
saltos,2,ODO-0C-A153,ODO-0C-A54,2.0,2.0,True
saltos,3,TALL-0A-A12,AUL2-0A-A119,7.0,7.0,True
saltos,4,CCJ-CJURIDICO-D4,QUI-2A-A81,6.0,6.0,True
saltos,5,ROUTER-CAMPUS-MUSEO,POS-2C-A33,8.0,8.0,True
saltos,6,JUR-1A-A62,POST-2A-A66,6.0,6.0,True
saltos,7,POS-1B-A32,MON-1C-A106,8.0,8.0,True
saltos,8,PSIC-2B-A54,MEDADM-0G-A17,8.0,8.0,True
saltos,9,CMED-0A-A42,AETUC-0A-A76,4.0,4.0,True
saltos,10,ROUTER-CAMPUS-CENTRO-HISTORICO,AUL1-3A-A104,4.0,4.0,True
saltos,11,AUL2-0A-A121,DAN-1A-A11,7.0,7.0,True
saltos,12,AUL2-0A-A118,MEDADM-1C-A13,8.0,8.0,True
saltos,13,AETUCCF-2A-A79,VIN-0A-A72,5.0,5.0,True
saltos,14,MON-1C-A106,TECQUI-0A-A11,5.0,5.0,True
saltos,15,EA-1A-A116,CCADM-2A-A45,7.0,7.0,True
saltos,16,INV-1A-A61,CP-INVESTIGACION-D5,1.0,1.0,True
saltos,17,FILOA-2A-A55,FILOB-2A-A57,4.0,4.0,True
saltos,18,HOS-0A-D05,ODO-0C-A54,6.0,6.0,True
saltos,19,SW-ARUBA-CENTRO-HISTORICO,AUL1-2A-A111,5.0,5.0,True
saltos,20,ENF-3A-A21,AUL2-01A-A124-SUBLAB2,8.0,8.0,True
latencia,1,AUL2-0A-A123,ECOK1-1A-A101,10.4,10.4,True
latencia,2,ODO-0C-A153,ODO-0C-A54,4.0,4.0,True
latencia,3,TALL-0A-A12,AUL2-0A-A119,9.450000000000001,9.450000000000001,True
latencia,4,CCJ-CJURIDICO-D4,QUI-2A-A81,8.35,8.350000000000001,True
latencia,5,ROUTER-CAMPUS-MUSEO,POS-2C-A33,10.75,10.75,True
latencia,6,JUR-1A-A62,POST-2A-A66,10.2,10.2,True
latencia,7,POS-1B-A32,MON-1C-A106,10.55,10.55,True
latencia,8,PSIC-2B-A54,MEDADM-0G-A17,10.549999999999999,10.55,True
latencia,9,CMED-0A-A42,AETUC-0A-A76,6.2,6.2,True
latencia,10,ROUTER-CAMPUS-CENTRO-HISTORICO,AUL1-3A-A104,7.1,7.1,True
latencia,11,AUL2-0A-A121,DAN-1A-A11,9.45,9.450000000000001,True
latencia,12,AUL2-0A-A118,MEDADM-1C-A13,10.549999999999999,10.55,True
latencia,13,AETUCCF-2A-A79,VIN-0A-A72,8.2,8.2,True
latencia,14,MON-1C-A106,TECQUI-0A-A11,8.2,8.2,True
latencia,15,EA-1A-A116,CCADM-2A-A45,10.4,10.4,True
latencia,16,INV-1A-A61,CP-INVESTIGACION-D5,2.0,2.0,True
latencia,17,FILOA-2A-A55,FILOB-2A-A57,6.2,6.2,True
latencia,18,HOS-0A-D05,ODO-0C-A54,8.4,8.4,True
latencia,19,SW-ARUBA-CENTRO-HISTORICO,AUL1-2A-A111,8.2,8.2,True
latencia,20,ENF-3A-A21,AUL2-01A-A124-SUBLAB2,10.55,10.55,True
carga,1,AUL2-0A-A123,ECOK1-1A-A101,0.058626000000000004,0.058626000000000004,True
carga,2,ODO-0C-A153,ODO-0C-A54,0.01582,0.01582,True
carga,3,TALL-0A-A12,AUL2-0A-A119,0.087468,0.087468,True
carga,4,CCJ-CJURIDICO-D4,QUI-2A-A81,0.052115930000000005,0.052115930000000005,True
carga,5,ROUTER-CAMPUS-MUSEO,POS-2C-A33,0.131832,0.131832,True
carga,6,JUR-1A-A62,POST-2A-A66,0.299795,0.299795,True
carga,7,POS-1B-A32,MON-1C-A106,0.116885,0.116885,True
carga,8,PSIC-2B-A54,MEDADM-0G-A17,0.169816,0.169816,True
carga,9,CMED-0A-A42,AETUC-0A-A76,0.075442,0.075442,True
carga,10,ROUTER-CAMPUS-CENTRO-HISTORICO,AUL1-3A-A104,0.117794,0.11779399999999998,True
carga,11,AUL2-0A-A121,DAN-1A-A11,0.167568,0.167568,True
carga,12,AUL2-0A-A118,MEDADM-1C-A13,0.10301099999999999,0.10301099999999999,True
carga,13,AETUCCF-2A-A79,VIN-0A-A72,0.14740999999999999,0.14740999999999999,True
carga,14,MON-1C-A106,TECQUI-0A-A11,0.04932,0.04932,True
carga,15,EA-1A-A116,CCADM-2A-A45,0.06858,0.06858,True
carga,16,INV-1A-A61,CP-INVESTIGACION-D5,0.00165,0.00165,True
carga,17,FILOA-2A-A55,FILOB-2A-A57,0.13336,0.13336,True
carga,18,HOS-0A-D05,ODO-0C-A54,0.106266,0.10626600000000001,True
carga,19,SW-ARUBA-CENTRO-HISTORICO,AUL1-2A-A111,0.127224,0.127224,True
carga,20,ENF-3A-A21,AUL2-01A-A124-SUBLAB2,0.152221,0.152221,True
