problema,p,nodo,campus,capa,betweenness,ranking_betweenness_P1,en_top10_betweenness,closeness,ranking_closeness_P1,en_top10_closeness
p-mediana,1,INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111,4,True,0.27586206896551724,1,True
p-centro,1,INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111,4,True,0.27586206896551724,1,True
p-mediana,2,CPAR-C10,Campus Paraiso,core,0.4042857142857143,2,True,0.2146341463414634,24,False
p-mediana,2,DATCC-2A-C3,Campus Central,core,0.4467722892187181,1,True,0.2682926829268293,2,True
p-centro,2,DATCC-2A-C2,Campus Central,core,0.17059910327767486,8,True,0.24753867791842477,7,True
p-centro,2,INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111,4,True,0.27586206896551724,1,True
p-mediana,3,CPAR-C10,Campus Paraiso,core,0.4042857142857143,2,True,0.2146341463414634,24,False
p-mediana,3,DATCC-2A-C3,Campus Central,core,0.4467722892187181,1,True,0.2682926829268293,2,True
p-mediana,3,DT-0A-C13,Campus Balzay,core,0.2235036332714906,6,True,0.22797927461139897,12,False
p-centro,3,DATCC-2A-C3,Campus Central,core,0.4467722892187181,1,True,0.2682926829268293,2,True
p-centro,3,DT-0A-C13,Campus Balzay,core,0.2235036332714906,6,True,0.22797927461139897,12,False
p-centro,3,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,0.36629779942279944,3,True,0.24209078404401652,8,True
p-mediana,5,AGRPRI-1A-D10,Campus Yanuncay,agregacion,0.12142857142857143,12,False,0.18763326226012794,39,False
p-mediana,5,CPAR-C10,Campus Paraiso,core,0.4042857142857143,2,True,0.2146341463414634,24,False
p-mediana,5,DATCC-2A-C2,Campus Central,core,0.17059910327767486,8,True,0.24753867791842477,7,True
p-mediana,5,DT-0A-C13,Campus Balzay,core,0.2235036332714906,6,True,0.22797927461139897,12,False
p-mediana,5,INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111,4,True,0.27586206896551724,1,True
p-centro,5,CB-EADMI-D6,Campus Balzay,agregacion,0.06701298701298701,22,False,0.18843683083511778,37,False
p-centro,5,CPAR-C10,Campus Paraiso,core,0.4042857142857143,2,True,0.2146341463414634,24,False
p-centro,5,DATCC-2A-C3,Campus Central,core,0.4467722892187181,1,True,0.2682926829268293,2,True
p-centro,5,POST-1A-A65,Campus Central,acceso,0.011363636363636364,54,False,0.1514629948364888,161,False
p-centro,5,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,0.1277922077922078,11,False,0.22420382165605096,13,False
