nodo,distancia,campus,capa
INTERNET-MPLS,0,Nube MPLS,wan
CCJ-CJURIDICO-D4,1,Campus Central,agregacion
HOS-0A-D05,1,Campus Hospitalidad,agregacion
ROUTER-CAMPUS-HUAYNA-CAPAC,1,Campus Paraiso,wan
ROUTER-CAMPUS-YANUNCAY,1,Campus Yanuncay,wan
PE1-BALZAY,1,Campus Balzay,wan
PE2-BALZAY,1,Campus Balzay,wan
PE1-CENTRAL,1,Campus Central,wan
PE2-CENTRAL,1,Campus Central,wan
CCJ-1A-A10,2,Campus Central,acceso
CCJ-1A-A11,2,Campus Central,acceso
HOS-0A-A10,2,Campus Hospitalidad,acceso
HOS-0A-A13,2,Campus Hospitalidad,acceso
HOS-2A-A11,2,Campus Hospitalidad,acceso
HOS-1A-A12,2,Campus Hospitalidad,acceso
CPAR-C10,2,Campus Paraiso,core
ROUTER-CAMPUS-PARAISO,2,Campus Paraiso,wan
AGRPRI-1A-D10,2,Campus Yanuncay,agregacion
FORTIGATE-1800F-BALZAY,2,Campus Balzay,interconexion
DT-0A-C13,2,Campus Balzay,core
FORTIGATE-1800F-CENTRAL,2,Campus Central,interconexion
DATCC-2A-C3,2,Campus Central,core
CP-EADMINA1-D6,3,Campus Paraiso,agregacion
CP-ENFERMERIA-D1,3,Campus Paraiso,agregacion
CP-INVESTIGACION-D5,3,Campus Paraiso,agregacion
CP-ODONTOLOGIA-D4,3,Campus Paraiso,agregacion
CP-POSGRADO-D2,3,Campus Paraiso,agregacion
CP-TECMEDICO-D3,3,Campus Paraiso,agregacion
AGRPRI-1A-A19,3,Campus Yanuncay,acceso
TALL-0A-A12,3,Campus Yanuncay,acceso
DAN-1A-A11,3,Campus Yanuncay,acceso
LABMAC-1A-A13,3,Campus Yanuncay,acceso
ART-0A-A15,3,Campus Yanuncay,acceso
BLOQUED-0A-A21,3,Campus Yanuncay,acceso
BIB-2A-A16,3,Campus Yanuncay,acceso
LAC-0A-A17,3,Campus Yanuncay,acceso
LAB-1A-A18,3,Campus Yanuncay,acceso
ANF-0A-A14,3,Campus Yanuncay,acceso
CEN-1A-A20,3,Campus Yanuncay,acceso
DT-0A-C12,3,Campus Balzay,core
BAL-AUL1-D4,3,Campus Balzay,agregacion
BAL-AUL2-D1,3,Campus Balzay,agregacion
BAL-CENTEC-D2,3,Campus Balzay,agregacion
CB-EADMI-D6,3,Campus Balzay,agregacion
