nodo,campus,capa,grado,intermediacion
CPAR-C10,Campus Paraiso,core,7,0.4042857142857143
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,3,0.36629779942279944
INTERNET-MPLS,Nube MPLS,wan,8,0.3656771541950111
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,3,0.1277922077922078
AGRPRI-1A-D10,Campus Yanuncay,agregacion,12,0.12142857142857143
CC-ARQUITECTURA-D107,Campus Central,agregacion,10,0.12123376623376624
BAL-AUL2-D1,Campus Balzay,agregacion,12,0.11071428571428571
CP-EADMINA1-D6,Campus Paraiso,agregacion,9,0.0890909090909091
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,6,0.08883116883116883
CC-MONJAS-D126,Campus Central,agregacion,8,0.07811688311688311
CP-POSGRADO-D2,Campus Paraiso,agregacion,6,0.06714285714285714
CC-ECONOMIA-D51,Campus Central,agregacion,6,0.06701298701298701
CB-EADMI-D6,Campus Balzay,agregacion,6,0.06701298701298701
BAL-CENTEC-D2,Campus Balzay,agregacion,7,0.05616883116883117
CC-ADM-D40,Campus Central,agregacion,7,0.05616883116883117
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,5,0.0561038961038961
CP-TECMEDICO-D3,Campus Paraiso,agregacion,5,0.0561038961038961
CC-FILOSOFIA-A-D108,Campus Central,agregacion,5,0.055974025974025975
HOS-0A-D05,Campus Hospitalidad,agregacion,5,0.045064935064935065
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,6,0.045064935064935065
BAL-AUL1-D4,Campus Balzay,agregacion,6,0.045064935064935065
CC-QUIMICA-D109,Campus Central,agregacion,5,0.045
CC-PROMAS-D31,Campus Central,agregacion,4,0.03383116883116883
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,3,0.03383116883116883
CC-AETUC-D30,Campus Central,agregacion,4,0.03383116883116883
CCJ-CJURIDICO-D4,Campus Central,agregacion,3,0.02266233766233766
CC-PSICOLOGIA-D125,Campus Central,agregacion,4,0.02266233766233766
CC-FILOSOFIA-B-D111,Campus Central,agregacion,4,0.02266233766233766
TECQUI-0A-A10,Campus Central,acceso,3,0.02266233766233766
CC-BIBLIOTECA-D112,Campus Central,agregacion,4,0.02266233766233766
ODO-0C-A53,Campus Paraiso,acceso,3,0.02266233766233766
BAL-EADM-D3,Campus Balzay,agregacion,2,0.0225974025974026
POST-1A-A64,Campus Central,acceso,2,0.0225974025974026
TECMED-1A-A41,Campus Paraiso,acceso,2,0.011363636363636364
POS-2C-A33,Campus Paraiso,acceso,2,0.011363636363636364
ODO-0B-A52,Campus Paraiso,acceso,2,0.011363636363636364
QUIN-1A-A117,Campus Balzay,acceso,2,0.011363636363636364
INV-1B-A62,Campus Paraiso,acceso,2,0.011363636363636364
ENF-2B-A22,Campus Paraiso,acceso,2,0.011363636363636364
ARQ-0A-A85,Campus Central,acceso,2,0.011363636363636364
QUI-2A-A82,Campus Central,acceso,2,0.011363636363636364
PRO-1A-A73,Campus Central,acceso,2,0.011363636363636364
MON-1B-A67,Campus Central,acceso,2,0.011363636363636364
POST-1A-A65,Campus Central,acceso,2,0.011363636363636364
ARQ-1E-A91,Campus Central,acceso,2,0.011363636363636364
ARQ-0D-A88,Campus Central,acceso,2,0.011363636363636364
AETUC-0A-A76,Campus Central,acceso,2,0.011363636363636364
