campus,desde_S,hacia_T,capacidad_mbps,rol,capa_u,capa_v,campus_u,campus_v,label,es_puente_P1
Campus Central,ROUTER-CAMPUS-CENTRO-HISTORICO,ROUTER-L2TP-BALZAY,1000,wan,wan,wan,Campus Balzay,Sede Centro Historico,L2TP 1 Gbps backup,False
Campus Central,ROUTER-CAMPUS-MUSEO,ROUTER-L2TP-BALZAY,1000,wan,wan,wan,Campus Balzay,Sede Museo,L2TP 1 Gbps backup,False
Campus Central,CCJ-1A-A10,CCJ-CJURIDICO-D4,1000,principal,agregacion,acceso,Campus Central,Campus Central,D4: 1/1/51 39.04 Mbps,True
Campus Central,CCJ-1A-A11,CCJ-CJURIDICO-D4,1000,principal,agregacion,acceso,Campus Central,Campus Central,D4: 1/1/52 1.56 Mbps,True
Campus Central,DATCC-2A-C2,FORTIGATE-1800F-CENTRAL,10000,wan,interconexion,core,Campus Central,Campus Central,LAG 2x10G red LAN L3 10 Gbps,False
Campus Central,DATCC-2A-C3,FORTIGATE-1800F-CENTRAL,10000,wan,interconexion,core,Campus Central,Campus Central,LAG 2x10G red LAN L3 10 Gbps,False
Campus Central,DATCC-2A-C3,PE2-CENTRAL,20000,wan,wan,core,Campus Central,Campus Central,MPLS L2 2x10 Gbps Trafico Data Center L2,False
Campus Balzay,AUL1-2A-A110,BAL-AUL1-D4,1000,principal,agregacion,acceso,Campus Balzay,Campus Balzay,D4: 1/1/1 65.9 Mbps,True
Campus Balzay,AUL1-2A-A111,BAL-AUL1-D4,1000,principal,agregacion,acceso,Campus Balzay,Campus Balzay,D4: 1/1/2 77.62 Mbps,True
Campus Balzay,AUL1-3A-A104,BAL-AUL1-D4,1000,principal,agregacion,acceso,Campus Balzay,Campus Balzay,D4: 1/1/4 84.67 Mbps,True
Campus Balzay,AUL1-3A-A112,BAL-AUL1-D4,1000,principal,agregacion,acceso,Campus Balzay,Campus Balzay,D4: 1/1/3 29.78 Mbps,True
