,AETUC-0A-A76,AETUC-0A-A97,AETUCCF-2A-A79,AGRPRI-1A-A19,AGRPRI-1A-D10,ANF-0A-A14,ARQ-0A-A84,ARQ-0A-A85,ARQ-0B-A87,ARQ-0D-A88,ARQ-0D-A89,ARQ-0D-A90,ARQ-0G-A93-CEPAUC,ARQ-1C-A86,ARQ-1C-A96,ARQ-1E-A91,ARQ-1E-A92,ART-0A-A15,AUL1-2A-A110,AUL1-2A-A111,AUL1-3A-A104,AUL1-3A-A112,AUL2-01A-A124-SUBLAB2,AUL2-01A-A24-SUB,AUL2-0A-A106,AUL2-0A-A118,AUL2-0A-A119,AUL2-0A-A120,AUL2-0A-A121,AUL2-0A-A122,AUL2-0A-A123,BAL-AUL1-D4,BAL-AUL2-D1,BAL-CENTEC-D2,BAL-EADM-D3,BIB-2A-A16,BLOQUED-0A-A21,CB-EADMI-D6,CC-ADM-D40,CC-AETUC-D30,CC-ARQUITECTURA-D107,CC-BIBLIOTECA-D112,CC-BLOQUE-IQ,CC-ECONOMIA-D51,CC-FILOSOFIA-A-D108,CC-FILOSOFIA-B-D111,CC-JURISPRUDENCIA-D110,CC-MONJAS-D126,CC-PROMAS-D31,CC-PSICOLOGIA-D125,CC-QUIMICA-D109,CCADM-2A-A43,CCADM-2A-A44,CCADM-2A-A45,CCBIB-1A-A71,CCJ-1A-A10,CCJ-1A-A11,CCJ-CJURIDICO-D4,CEA-0A-A108,CEN-1A-A20,CENDIA-0A-A19,CMED-0A-A42,CP-EADMINA1-D6,CP-ENFERMERIA-D1,CP-INVESTIGACION-D5,CP-ODONTOLOGIA-D4,CP-POSGRADO-D2,CP-TECMEDICO-D3,CPAR-C10,CREDU-0B-A94,CTBLOQ1-0A-A101,CTBLOQ2-0A-A102,CTBLOQ3-0A-A103,DAN-1A-A11,DATCC-2A-C2,DATCC-2A-C3,DT-0A-C12,DT-0A-C13,EA-0A-A114,EA-1A-A115,EA-1A-A116,ECOK1-1A-A101,ECOK1-1A-A102,ECOK2-1A-A52,ECOK3-0A-A63,ENF-2B-A122,ENF-2B-A22,ENF-3A-A21,FILOA-0B-A56,FILOA-2A-A55,FILOB-1B-A58,FILOB-2A-A57,FORTIGATE-1800F-BALZAY,FORTIGATE-1800F-CENTRAL,HOS-0A-A10,HOS-0A-A13,HOS-0A-D05,HOS-1A-A12,HOS-2A-A11,INTERNET-MPLS,INV-1A-A161,INV-1A-A61,INV-1B-A162,INV-1B-A62,JUR-0A-A59,JUR-0A-A60,JUR-1A-A61,JUR-1A-A62,LAB-1A-A18,LABMAC-1A-A13,LAC-0A-A17,MEDADM-0F-A16,MEDADM-0G-A17,MEDADM-1A-A11,MEDADM-1B-A12,MEDADM-1C-A13,MEDADM-1D-A14,MEDADM-1E-A15,MEDADM-1H-A18,MICRORED-1A-A109,MON-0A-A103,MON-0A-A104,MON-1B-A67,MON-1B-A68,MON-1C-A105,MON-1C-A106,ODO-0B-A152,ODO-0B-A52,ODO-0C-A153,ODO-0C-A154,ODO-0C-A53,ODO-0C-A54,ODO-1A-A151,ODO-1A-A51,PE1-BALZAY,PE1-CENTRAL,PE2-BALZAY,PE2-CENTRAL,POS-0A-A131,POS-0A-A31,POS-1B-A32,POS-2C-A133,POS-2C-A33,POSLAB-0D-A34,POST-1A-A64,POST-1A-A65,POST-2A-A66,PRO-1A-A73,PRO-3A-A74,PSIC-1A-A53,PSIC-2B-A54,QUI-0A-A78,QUI-1A-A83,QUI-2A-A81,QUI-2A-A82,QUIN-1A-A117,QUIN-1A-A128,ROUTER-CAMPUS-CENTRO-HISTORICO,ROUTER-CAMPUS-HUAYNA-CAPAC,ROUTER-CAMPUS-MUSEO,ROUTER-CAMPUS-PARAISO,ROUTER-CAMPUS-YANUNCAY,ROUTER-L2TP-BALZAY,SW-ARUBA-CENTRO-HISTORICO,SW-ARUBA-MUSEO,TALL-0A-A12,TEAT-0A-A75,TECMED-0B-A42,TECMED-1A-A141,TECMED-1A-A41,TECMED-2C-A43,TECMED-3D-A44,TECQUI-0A-A10,TECQUI-0A-A11,TECQUI-0A-A12,VIN-0A-A72,VLIR-0A-A107
AETUC-0A-A76,0.0,0.09689,0.0519,0.15559,0.12511,0.13155,0.14267,0.13973,0.06906,0.10633000000000001,0.15165,0.06215,0.06272,0.06917,0.11074,0.15550999999999998,0.25215,0.16552,0.174694,0.186414,0.19346399999999997,0.138574,0.136196,0.189136,0.17923599999999998,0.113426,0.112066,0.11576600000000001,0.19244599999999998,0.111956,0.112086,0.108794,0.110736,0.110366,0.11131100000000001,0.19344,0.13485,0.109348,0.067472,0.05919,0.05919,0.05919,0.066593,0.066593,0.066593,0.066593,0.07228799999999999,0.066593,0.05919,0.066593,0.05919,0.092002,0.17283199999999999,0.075752,0.24884,0.14767,0.11019000000000001,0.10863,0.115356,0.13043,0.155533,0.075442,0.14808300000000002,0.155203,0.148883,0.16204600000000002,0.144492,0.151769,0.140413,0.07651,0.11601600000000001,0.132656,0.123276,0.13539,0.066593,0.05919,0.10863,0.10863,0.130258,0.159878,0.111208,0.072323,0.334753,0.103173,0.098623,0.255853,0.203863,0.176293,0.105993,0.100373,0.130103,0.166173,0.09215000000000001,0.07567,0.13505,0.13033,0.10863,0.1594,0.19995999999999997,0.09215000000000001,0.200323,0.150533,0.264843,0.210753,0.083758,0.076658,0.132498,0.127318,0.14265,0.14418,0.13681000000000001,0.183563,0.15041300000000002,0.174953,0.14985300000000001,0.14985300000000001,0.169043,0.14985300000000001,0.15970299999999998,0.121756,0.070413,0.10658300000000001,0.102903,0.140763,0.069353,0.082953,0.18879600000000002,0.17702600000000002,0.194636,0.215086,0.180376,0.18193600000000001,0.18479600000000002,0.164866,0.09215000000000001,0.09215000000000001,0.10863,0.07567,0.153802,0.146362,0.152312,0.166442,0.158062,0.161092,0.267013,0.301243,0.303913,0.12793,0.14440999999999998,0.19286299999999998,0.137783,0.05919,0.11475,0.06186593,0.06186,0.165371,0.18185099999999998,0.09215000000000001,0.10863,0.099553,0.09215000000000001,0.10863,0.10863,0.07567,0.08307300000000001,0.13567,0.07567199999999999,0.181189,0.211509,0.189809,0.205569,0.206399,0.08307300000000001,0.099553,0.090673,0.09551,0.124116
AETUC-0A-A97,0.09689,0.0,0.14879,0.1341,0.10361999999999999,0.11005999999999999,0.12118000000000001,0.11824000000000001,0.04757,0.08484,0.13016,0.04066,0.04123,0.04768000000000001,0.08925,0.13402,0.23066,0.14403,0.153204,0.16492400000000002,0.171974,0.11708400000000002,0.114706,0.16764600000000002,0.157746,0.09193600000000002,0.09057600000000002,0.09427600000000001,0.170956,0.090466,0.09059600000000001,0.087304,0.089246,0.08887600000000001,0.08982100000000001,0.17195,0.11335999999999999,0.087858,0.045982,0.037700000000000004,0.037700000000000004,0.037700000000000004,0.045103000000000004,0.045103000000000004,0.045103000000000004,0.045103000000000004,0.050798,0.045103000000000004,0.037700000000000004,0.045103000000000004,0.037700000000000004,0.070512,0.151342,0.054262000000000005,0.22735000000000002,0.12618000000000001,0.0887,0.08714000000000001,0.093866,0.10894,0.134043,0.053952,0.126593,0.133713,0.127393,0.14055600000000001,0.123002,0.130279,0.118923,0.05502,0.09452600000000001,0.11116600000000001,0.10178600000000002,0.1139,0.045103000000000004,0.037700000000000004,0.08714000000000001,0.08714000000000001,0.108768,0.138388,0.089718,0.050833,0.313263,0.081683,0.07713300000000001,0.234363,0.18237299999999998,0.154803,0.084503,0.07888300000000001,0.108613,0.144683,0.07066,0.054180000000000006,0.11356000000000002,0.10884000000000002,0.08714000000000001,0.13791,0.17847,0.07066,0.178833,0.129043,0.24335299999999999,0.189263,0.062268000000000004,0.055168,0.111008,0.105828,0.12115999999999999,0.12269,0.11531999999999999,0.162073,0.128923,0.153463,0.128363,0.128363,0.147553,0.128363,0.138213,0.10026600000000001,0.048923,0.085093,0.08141300000000001,0.11927300000000002,0.047863,0.061463000000000004,0.167306,0.155536,0.173146,0.193596,0.158886,0.160446,0.163306,0.143376,0.07066,0.07066,0.08714,0.054180000000000006,0.132312,0.12487200000000001,0.130822,0.144952,0.136572,0.139602,0.245523,0.279753,0.282423,0.10644,0.12292,0.171373,0.11629300000000001,0.037700000000000004,0.09326000000000001,0.040375930000000004,0.04037,0.143881,0.160361,0.07066,0.08714,0.07806300000000001,0.07066,0.08714,0.08714000000000001,0.054180000000000006,0.061583000000000006,0.11418,0.054182,0.159699,0.190019,0.168319,0.184079,0.184909,0.061583000000000006,0.07806300000000001,0.06918300000000001,0.07402,0.10262600000000001
AETUCCF-2A-A79,0.0519,0.14879,0.0,0.20748999999999998,0.17700999999999997,0.18344999999999997,0.19457,0.19163,0.12096,0.15822999999999998,0.20355,0.11405,0.11462,0.12107,0.16264,0.20740999999999998,0.30405,0.21741999999999997,0.226594,0.238314,0.24536399999999997,0.190474,0.18809599999999999,0.241036,0.23113599999999998,0.165326,0.163966,0.16766599999999998,0.24434599999999998,0.163856,0.163986,0.160694,0.162636,0.162266,0.163211,0.24533999999999997,0.18674999999999997,0.161248,0.11937199999999999,0.11109,0.11109,0.11109,0.11849299999999999,0.11849299999999999,0.11849299999999999,0.11849299999999999,0.12418799999999999,0.11849299999999999,0.11109,0.11849299999999999,0.11109,0.143902,0.224732,0.127652,0.30074,0.19957,0.16208999999999998,0.16053,0.167256,0.18233,0.20743299999999998,0.12734199999999998,0.199983,0.20710299999999998,0.200783,0.213946,0.19639199999999998,0.203669,0.19231299999999998,0.12841,0.167916,0.184556,0.175176,0.18728999999999998,0.11849299999999999,0.11109,0.16053,0.16053,0.182158,0.211778,0.16310799999999998,0.12422299999999999,0.386653,0.155073,0.150523,0.30775299999999994,0.25576299999999996,0.22819299999999998,0.15789299999999998,0.152273,0.18200299999999997,0.218073,0.14404999999999998,0.12757,0.18695,0.18223,0.16053,0.2113,0.25186,0.14404999999999998,0.252223,0.20243299999999997,0.316743,0.26265299999999997,0.135658,0.128558,0.184398,0.179218,0.19454999999999997,0.19607999999999998,0.18871,0.23546299999999998,0.202313,0.22685299999999997,0.201753,0.201753,0.22094299999999997,0.201753,0.21160299999999999,0.17365599999999998,0.12231299999999999,0.15848299999999998,0.154803,0.192663,0.12125299999999999,0.134853,0.240696,0.228926,0.24653599999999998,0.26698599999999995,0.23227599999999998,0.233836,0.236696,0.216766,0.14404999999999998,0.14404999999999998,0.16052999999999998,0.12757,0.205702,0.198262,0.20421199999999998,0.21834199999999998,0.20996199999999998,0.212992,0.318913,0.353143,0.35581299999999993,0.17983,0.19630999999999998,0.24476299999999998,0.189683,0.11109,0.16665,0.11376593,0.11376,0.217271,0.233751,0.14404999999999998,0.16052999999999998,0.15145299999999998,0.14404999999999998,0.16052999999999998,0.16053,0.12757,0.13497299999999998,0.18757,0.127572,0.233089,0.263409,0.24170899999999998,0.25746899999999995,0.25829899999999995,0.13497299999999998,0.15145299999999998,0.14257299999999998,0.14740999999999999,0.176016
AGRPRI-1A-A19,0.15559,0.1341,0.20748999999999998,0.0,0.03048,0.03692,0.17987999999999998,0.17694,0.10627,0.14354,0.18886,0.09936,0.09993,0.10638,0.14795,0.19271999999999997,0.28935999999999995,0.07089,0.170016,0.181736,0.188786,0.13389600000000002,0.131518,0.184458,0.174558,0.10874800000000001,0.10738800000000001,0.111088,0.187768,0.10727800000000001,0.107408,0.10411600000000001,0.10605800000000001,0.102216,0.10602900000000001,0.09881000000000001,0.04022,0.104066,0.104682,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.103845,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.09640000000000001,0.129212,0.21004199999999998,0.112962,0.28605,0.11896000000000001,0.08148,0.07992,0.10720600000000001,0.0358,0.12682300000000002,0.112652,0.119373,0.12649300000000002,0.120173,0.133336,0.115782,0.123059,0.111703,0.11372,0.107866,0.124506,0.115126,0.04076,0.09640000000000001,0.09640000000000001,0.103952,0.09640000000000001,0.124976,0.154596,0.105926,0.10213,0.36456,0.13298000000000001,0.12843000000000002,0.22714299999999998,0.175153,0.14758300000000002,0.1358,0.13018000000000002,0.15991,0.19598,0.09640000000000001,0.07992,0.10634000000000002,0.10162000000000002,0.07992,0.13069,0.17124999999999999,0.06344,0.17161300000000002,0.121823,0.23613299999999998,0.182043,0.115315,0.108215,0.16405499999999998,0.158875,0.04802,0.04955,0.042179999999999995,0.15485300000000002,0.121703,0.146243,0.121143,0.121143,0.14033299999999999,0.121143,0.130993,0.11707800000000002,0.10022,0.13639,0.13271,0.17057,0.09916,0.11276,0.160086,0.148316,0.16592600000000002,0.186376,0.15166600000000002,0.15322600000000003,0.156086,0.136156,0.07992,0.06344,0.07992,0.07992,0.125092,0.117652,0.123602,0.13773200000000002,0.12935200000000002,0.132382,0.29682,0.33104999999999996,0.33371999999999996,0.16513999999999998,0.18161999999999998,0.22266999999999998,0.16759,0.09640000000000001,0.15196,0.09907593,0.09907,0.16008900000000004,0.17656900000000003,0.12936,0.07992,0.12936,0.09640000000000001,0.04696,0.11288000000000001,0.11288000000000001,0.11288000000000001,0.04104,0.11288200000000001,0.152479,0.182799,0.161099,0.176859,0.17768899999999999,0.11288000000000001,0.12936,0.12048,0.13272,0.11596600000000001
AGRPRI-1A-D10,0.12511,0.10361999999999999,0.17700999999999997,0.03048,0.0,0.00644,0.14939999999999998,0.14645999999999998,0.07579,0.11306,0.15838,0.06888,0.06945000000000001,0.07590000000000001,0.11746999999999999,0.16223999999999997,0.25888,0.040409999999999995,0.13953600000000002,0.151256,0.158306,0.10341600000000001,0.10103799999999999,0.153978,0.14407799999999998,0.078268,0.076908,0.08060800000000001,0.15728799999999998,0.076798,0.076928,0.07363600000000001,0.075578,0.07173600000000001,0.075549,0.06833,0.00974,0.07358600000000001,0.074202,0.06592,0.06592,0.06592,0.06592,0.06592,0.06592,0.06592,0.07336500000000001,0.06592,0.06592,0.06592,0.06592,0.09873199999999999,0.17956199999999997,0.082482,0.25557,0.08848,0.051000000000000004,0.049440000000000005,0.07672600000000002,0.00532,0.09634300000000001,0.082172,0.088893,0.09601300000000001,0.089693,0.102856,0.08530199999999999,0.092579,0.08122299999999999,0.08324000000000001,0.07738600000000001,0.094026,0.084646,0.01028,0.06592,0.06592,0.07347200000000001,0.06592,0.094496,0.124116,0.07544600000000001,0.07165,0.33408,0.10250000000000001,0.09795000000000001,0.19666299999999998,0.144673,0.11710300000000001,0.10532,0.09970000000000001,0.12943,0.16549999999999998,0.06592,0.049440000000000005,0.07586000000000001,0.07114000000000001,0.049440000000000005,0.10021,0.14076999999999998,0.03296,0.141133,0.09134300000000001,0.20565299999999997,0.151563,0.084835,0.077735,0.13357499999999997,0.12839499999999998,0.01754,0.01907,0.011699999999999999,0.12437300000000001,0.091223,0.115763,0.090663,0.090663,0.109853,0.090663,0.10051299999999999,0.08659800000000001,0.06974000000000001,0.10591,0.10222999999999999,0.14009,0.06868,0.08227999999999999,0.12960600000000003,0.11783600000000002,0.135446,0.15589599999999998,0.12118600000000002,0.12274600000000002,0.12560600000000002,0.10567599999999999,0.049440000000000005,0.03296,0.049440000000000005,0.049440000000000005,0.094612,0.087172,0.09312200000000001,0.10725200000000001,0.09887200000000002,0.10190199999999999,0.26633999999999997,0.30056999999999995,0.30323999999999995,0.13465999999999997,0.15113999999999997,0.19218999999999997,0.13710999999999998,0.06592,0.12148,0.06859593,0.06859000000000001,0.12960900000000003,0.14608900000000002,0.09888,0.049440000000000005,0.09888,0.06592,0.01648,0.0824,0.0824,0.0824,0.01056,0.082402,0.121999,0.152319,0.130619,0.14637899999999998,0.14720899999999998,0.0824,0.09888,0.09,0.10224,0.085486
ANF-0A-A14,0.13155,0.11005999999999999,0.18344999999999997,0.03692,0.00644,0.0,0.15583999999999998,0.15289999999999998,0.08223,0.1195,0.16482,0.07532,0.07589000000000001,0.08234000000000001,0.12390999999999999,0.16867999999999997,0.26532,0.046849999999999996,0.14597600000000002,0.157696,0.164746,0.10985600000000001,0.10747799999999999,0.160418,0.15051799999999999,0.084708,0.083348,0.08704800000000001,0.16372799999999998,0.083238,0.083368,0.08007600000000001,0.08201800000000001,0.07817600000000001,0.081989,0.07477,0.01618,0.08002600000000001,0.080642,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07980500000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.07236000000000001,0.10517199999999999,0.18600199999999997,0.088922,0.26201,0.09492,0.057440000000000005,0.055880000000000006,0.08316600000000002,0.01176,0.10278300000000001,0.088612,0.095333,0.10245300000000002,0.096133,0.109296,0.09174199999999999,0.099019,0.08766299999999999,0.08968000000000001,0.08382600000000001,0.100466,0.091086,0.01672,0.07236000000000001,0.07236000000000001,0.07991200000000001,0.07236000000000001,0.100936,0.130556,0.08188600000000001,0.07809,0.34052,0.10894000000000001,0.10439000000000001,0.20310299999999998,0.151113,0.12354300000000001,0.11176,0.10614000000000001,0.13587,0.17193999999999998,0.07236000000000001,0.055880000000000006,0.08230000000000001,0.07758000000000001,0.055880000000000006,0.10665,0.14720999999999998,0.039400000000000004,0.147573,0.09778300000000001,0.21209299999999998,0.158003,0.091275,0.084175,0.14001499999999997,0.13483499999999998,0.02398,0.02551,0.01814,0.130813,0.097663,0.122203,0.097103,0.097103,0.11629300000000001,0.097103,0.10695299999999999,0.09303800000000001,0.07618000000000001,0.11235,0.10866999999999999,0.14653,0.07512,0.08872,0.13604600000000003,0.12427600000000003,0.141886,0.16233599999999998,0.12762600000000002,0.12918600000000002,0.13204600000000002,0.112116,0.055880000000000006,0.039400000000000004,0.055880000000000006,0.055880000000000006,0.101052,0.093612,0.09956200000000001,0.11369200000000002,0.10531200000000002,0.108342,0.27277999999999997,0.30700999999999995,0.30967999999999996,0.14109999999999998,0.15757999999999997,0.19862999999999997,0.14354999999999998,0.07236000000000001,0.12792,0.07503593,0.07503000000000001,0.13604900000000003,0.15252900000000003,0.10532,0.055880000000000006,0.10532,0.07236000000000001,0.022920000000000003,0.08884,0.08884,0.08884,0.017,0.088842,0.128439,0.158759,0.13705900000000001,0.15281899999999998,0.15364899999999998,0.08884,0.10532,0.09644,0.10868,0.09192600000000001
ARQ-0A-A84,0.14267,0.12118000000000001,0.19457,0.17987999999999998,0.14939999999999998,0.15583999999999998,0.0,0.00294,0.09335,0.13062,0.17593999999999999,0.08644,0.08701,0.09346,0.13502999999999998,0.1798,0.27644,0.18980999999999998,0.198984,0.210704,0.21775399999999998,0.162864,0.160486,0.213426,0.20352599999999998,0.137716,0.136356,0.140056,0.21673599999999998,0.13624599999999998,0.136376,0.13308399999999998,0.13502599999999998,0.134656,0.135601,0.21772999999999998,0.15913999999999998,0.13363799999999998,0.091762,0.08348,0.08348,0.08348,0.09088299999999999,0.09088299999999999,0.09088299999999999,0.09088299999999999,0.096578,0.09088299999999999,0.08348,0.09088299999999999,0.08348,0.116292,0.197122,0.10004199999999999,0.27313,0.17196,0.13448,0.13291999999999998,0.139646,0.15471999999999997,0.17982299999999998,0.099732,0.172373,0.17949299999999999,0.17317299999999997,0.186336,0.168782,0.17605899999999997,0.164703,0.1008,0.140306,0.156946,0.147566,0.15968,0.09088299999999999,0.08348,0.13291999999999998,0.13291999999999998,0.154548,0.184168,0.135498,0.096613,0.359043,0.127463,0.122913,0.280143,0.22815299999999997,0.20058299999999998,0.13028299999999998,0.124663,0.154393,0.190463,0.11643999999999999,0.09996,0.15934,0.15462,0.13291999999999998,0.18369,0.22424999999999998,0.11643999999999999,0.22461299999999998,0.17482299999999998,0.289133,0.23504299999999997,0.108048,0.100948,0.15678799999999998,0.151608,0.16693999999999998,0.16846999999999998,0.1611,0.20785299999999998,0.174703,0.19924299999999998,0.174143,0.174143,0.19333299999999998,0.174143,0.18399299999999996,0.146046,0.094703,0.13087300000000002,0.127193,0.165053,0.093643,0.107243,0.213086,0.201316,0.21892599999999998,0.23937599999999998,0.204666,0.206226,0.209086,0.189156,0.11643999999999999,0.11643999999999999,0.13291999999999998,0.09996,0.17809199999999997,0.17065199999999997,0.17660199999999998,0.19073199999999998,0.182352,0.185382,0.291303,0.32553299999999996,0.32820299999999997,0.15222,0.1687,0.21715299999999998,0.162073,0.08348,0.13904,0.08615593,0.08615,0.189661,0.206141,0.11643999999999999,0.13291999999999998,0.12384300000000001,0.11643999999999999,0.13291999999999998,0.13291999999999998,0.09996,0.107363,0.15996,0.099962,0.20547899999999997,0.23579899999999998,0.21409899999999998,0.22985899999999998,0.23068899999999998,0.107363,0.12384300000000001,0.114963,0.11979999999999999,0.14840599999999998
ARQ-0A-A85,0.13973,0.11824000000000001,0.19163,0.17694,0.14645999999999998,0.15289999999999998,0.00294,0.0,0.09041,0.12768000000000002,0.173,0.0835,0.08407,0.09052,0.13208999999999999,0.17686,0.27349999999999997,0.18686999999999998,0.196044,0.207764,0.21481399999999998,0.159924,0.157546,0.210486,0.200586,0.134776,0.133416,0.13711600000000002,0.21379599999999999,0.13330599999999998,0.133436,0.13014399999999998,0.13208599999999998,0.131716,0.132661,0.21478999999999998,0.15619999999999998,0.13069799999999998,0.088822,0.08054,0.08054,0.08054,0.087943,0.087943,0.087943,0.087943,0.093638,0.087943,0.08054,0.087943,0.08054,0.11335200000000001,0.194182,0.097102,0.27019000000000004,0.16902,0.13154,0.12997999999999998,0.136706,0.15177999999999997,0.17688299999999998,0.096792,0.169433,0.176553,0.17023299999999997,0.183396,0.165842,0.17311899999999997,0.161763,0.09786,0.137366,0.154006,0.144626,0.15674,0.087943,0.08054,0.12997999999999998,0.12997999999999998,0.151608,0.181228,0.132558,0.093673,0.356103,0.124523,0.119973,0.277203,0.22521299999999997,0.19764299999999999,0.12734299999999998,0.121723,0.151453,0.187523,0.11349999999999999,0.09702,0.1564,0.15168,0.12997999999999998,0.18075,0.22130999999999998,0.11349999999999999,0.22167299999999998,0.17188299999999998,0.286193,0.23210299999999998,0.10510800000000001,0.098008,0.15384799999999998,0.148668,0.16399999999999998,0.16552999999999998,0.15816,0.20491299999999998,0.171763,0.19630299999999998,0.171203,0.171203,0.19039299999999998,0.171203,0.18105299999999996,0.143106,0.091763,0.12793300000000002,0.124253,0.162113,0.090703,0.104303,0.210146,0.198376,0.21598599999999998,0.23643599999999998,0.201726,0.203286,0.206146,0.186216,0.11349999999999999,0.11349999999999999,0.12997999999999998,0.09702,0.17515199999999997,0.16771199999999997,0.17366199999999998,0.187792,0.179412,0.182442,0.288363,0.32259299999999996,0.32526299999999997,0.14928,0.16576,0.214213,0.159133,0.08054,0.1361,0.08321593000000001,0.08321,0.186721,0.203201,0.11349999999999999,0.12997999999999998,0.12090300000000001,0.11349999999999999,0.12997999999999998,0.12997999999999998,0.09702,0.104423,0.15702,0.097022,0.20253899999999997,0.23285899999999998,0.21115899999999999,0.22691899999999998,0.22774899999999998,0.104423,0.12090300000000001,0.112023,0.11685999999999999,0.14546599999999998
ARQ-0B-A87,0.06906,0.04757,0.12096,0.10627,0.07579,0.08223,0.09335,0.09041,0.0,0.05701,0.10233,0.012829999999999998,0.013399999999999999,0.01985,0.061419999999999995,0.10618999999999999,0.20282999999999998,0.1162,0.12537399999999999,0.137094,0.14414399999999997,0.08925400000000001,0.08687600000000001,0.139816,0.12991599999999998,0.064106,0.062746,0.066446,0.14312599999999998,0.062636,0.062766,0.059474,0.061416,0.061046,0.061991000000000004,0.14412,0.08553,0.060028,0.018151999999999998,0.009869999999999999,0.009869999999999999,0.009869999999999999,0.017272999999999997,0.017272999999999997,0.017272999999999997,0.017272999999999997,0.022967999999999995,0.017272999999999997,0.009869999999999999,0.017272999999999997,0.009869999999999999,0.042682,0.123512,0.026431999999999997,0.19952,0.09835,0.06087,0.05931,0.066036,0.08111,0.106213,0.026122,0.098763,0.105883,0.099563,0.112726,0.095172,0.102449,0.09109300000000001,0.02719,0.066696,0.083336,0.073956,0.08607000000000001,0.017272999999999997,0.009869999999999999,0.05931,0.05931,0.08093800000000001,0.110558,0.061888,0.023003,0.285433,0.053853,0.049303,0.206533,0.15454299999999999,0.126973,0.056672999999999994,0.051053,0.08078300000000001,0.116853,0.04283,0.02635,0.08573,0.08101,0.05931,0.11008,0.15063999999999997,0.04283,0.151003,0.101213,0.215523,0.161433,0.034437999999999996,0.027337999999999994,0.083178,0.077998,0.09333,0.09486,0.08749,0.134243,0.101093,0.125633,0.100533,0.100533,0.119723,0.100533,0.110383,0.072436,0.021093,0.057263,0.053583,0.091443,0.020033,0.033632999999999996,0.13947600000000002,0.12770600000000001,0.145316,0.165766,0.131056,0.132616,0.135476,0.11554600000000001,0.04283,0.04283,0.05931,0.02635,0.104482,0.097042,0.102992,0.117122,0.108742,0.111772,0.21769299999999997,0.25192299999999995,0.25459299999999996,0.07861,0.09509,0.14354299999999998,0.088463,0.009869999999999999,0.06543,0.012545929999999999,0.012539999999999999,0.116051,0.132531,0.04283,0.05931,0.050233,0.04283,0.05931,0.05931,0.02635,0.033753,0.08635000000000001,0.026351999999999993,0.13186900000000001,0.162189,0.140489,0.156249,0.157079,0.033753,0.050233,0.041353,0.046189999999999995,0.074796
ARQ-0D-A88,0.10633000000000001,0.08484,0.15822999999999998,0.14354,0.11306,0.1195,0.13062,0.12768000000000002,0.05701,0.0,0.04532,0.0501,0.05067,0.057120000000000004,0.09869,0.14345999999999998,0.24009999999999998,0.15347,0.162644,0.17436400000000002,0.18141399999999996,0.12652400000000003,0.124146,0.17708600000000002,0.167186,0.10137600000000001,0.10001600000000001,0.103716,0.180396,0.099906,0.10003600000000001,0.096744,0.098686,0.09831600000000001,0.09926100000000002,0.18139,0.12279999999999999,0.097298,0.055422,0.04714,0.04714,0.04714,0.054543,0.054543,0.054543,0.054543,0.060238,0.054543,0.04714,0.054543,0.04714,0.079952,0.16078199999999998,0.06370200000000001,0.23679,0.13562000000000002,0.09814,0.09658,0.10330600000000001,0.11838,0.143483,0.063392,0.13603300000000002,0.143153,0.13683299999999998,0.14999600000000002,0.132442,0.13971899999999998,0.128363,0.06446,0.103966,0.120606,0.111226,0.12334,0.054543,0.04714,0.09658,0.09658,0.11820800000000001,0.14782800000000001,0.099158,0.060273,0.322703,0.09112300000000001,0.08657300000000001,0.243803,0.19181299999999998,0.164243,0.093943,0.08832300000000001,0.118053,0.154123,0.0801,0.06362000000000001,0.12300000000000001,0.11828000000000001,0.09658,0.14734999999999998,0.18790999999999997,0.0801,0.188273,0.138483,0.252793,0.198703,0.071708,0.064608,0.120448,0.115268,0.1306,0.13213,0.12476,0.171513,0.138363,0.162903,0.137803,0.137803,0.156993,0.137803,0.14765299999999998,0.10970600000000001,0.058363,0.094533,0.090853,0.128713,0.057303,0.070903,0.17674600000000001,0.164976,0.182586,0.203036,0.168326,0.169886,0.172746,0.152816,0.0801,0.0801,0.09658,0.06362000000000001,0.141752,0.134312,0.140262,0.154392,0.146012,0.149042,0.254963,0.289193,0.291863,0.11588,0.13235999999999998,0.180813,0.12573299999999998,0.04714,0.10270000000000001,0.04981593,0.04981,0.15332099999999999,0.16980099999999998,0.0801,0.09658,0.087503,0.0801,0.09658,0.09658000000000001,0.06362000000000001,0.071023,0.12362000000000001,0.063622,0.16913899999999998,0.199459,0.177759,0.193519,0.194349,0.071023,0.087503,0.078623,0.08346,0.11206600000000001
