ranking,betweenness_nodo,betweenness_valor,closeness_nodo,closeness_valor
1,DATCC-2A-C3,0.4467722892187181,INTERNET-MPLS,0.27586206896551724
2,CPAR-C10,0.4042857142857143,DATCC-2A-C3,0.2682926829268293
3,ROUTER-CAMPUS-HUAYNA-CAPAC,0.36629779942279944,PE2-CENTRAL,0.26666666666666666
4,INTERNET-MPLS,0.3656771541950111,FORTIGATE-1800F-CENTRAL,0.25958702064896755
5,PE2-CENTRAL,0.2881219593898162,PE1-CENTRAL,0.2561863173216885
6,DT-0A-C13,0.2235036332714906,PE1-BALZAY,0.25106990014265335
7,FORTIGATE-1800F-CENTRAL,0.18628854875283454,DATCC-2A-C2,0.24753867791842477
8,DATCC-2A-C2,0.17059910327767486,ROUTER-CAMPUS-HUAYNA-CAPAC,0.24209078404401652
9,FORTIGATE-1800F-BALZAY,0.1490211296639867,FORTIGATE-1800F-BALZAY,0.24076607387140903
10,PE2-BALZAY,0.14603666769738194,PE2-BALZAY,0.23848238482384823
