ranking,nodo,campus,funcion_jerarquia,indice_criticidad,metricas_que_lo_senalan,consecuencia_estimada
1,CPAR-C10,Campus Paraiso,Núcleo (core),0.6726543938675027,betweenness=0.404; punto de articulación; corte mínimo (Campus Paraiso); percolación: 41 nodos fuera de GCC,puede dejar 41 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Paraiso.
2,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,Router WAN de campus,0.6549689563688885,betweenness=0.366; punto de articulación; corte mínimo (Campus Paraiso); percolación: 42 nodos fuera de GCC,puede dejar 42 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Paraiso.
3,DATCC-2A-C3,Campus Central,Núcleo (core),0.48366093366093366,betweenness=0.447; corte mínimo (Campus Central); cascada: +12 fallos,participa en el corte mínimo de Campus Central; a τ=0.035 puede inducir 12 fallos secundarios.
4,INTERNET-MPLS,Nube MPLS,Salida institucional / nube MPLS,0.42238228019321844,betweenness=0.366; punto de articulación; percolación: 8 nodos fuera de GCC; cascada: +11 fallos,puede dejar 8 nodos fuera de la componente gigante; a τ=0.035 puede inducir 11 fallos secundarios.
5,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,Router WAN de campus,0.41436572277359274,betweenness=0.128; punto de articulación; corte mínimo (Campus Yanuncay); percolación: 12 nodos fuera de GCC,puede dejar 12 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Yanuncay.
6,AGRPRI-1A-D10,Campus Yanuncay,Agregación / distribución,0.40723339947055226,betweenness=0.121; punto de articulación; corte mínimo (Campus Yanuncay); percolación: 11 nodos fuera de GCC,puede dejar 11 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Yanuncay.
7,HOS-0A-D05,Campus Hospitalidad,Agregación / distribución,0.3395026626912104,betweenness=0.045; punto de articulación; corte mínimo (Campus Hospitalidad); percolación: 4 nodos fuera de GCC,puede dejar 4 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Hospitalidad.
8,ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,Router WAN de campus,0.3070127468276045,betweenness=0.004; corte mínimo (Campus Central); cascada: +37 fallos,participa en el corte mínimo de Campus Central; a τ=0.035 puede inducir 37 fallos secundarios.
9,PE2-CENTRAL,Campus Central,Router PE / tránsito WAN,0.29267379773222607,betweenness=0.288; corte mínimo (Campus Central); cascada: +5 fallos,participa en el corte mínimo de Campus Central; a τ=0.035 puede inducir 5 fallos secundarios.
10,BAL-AUL2-D1,Campus Balzay,Agregación / distribución,0.28462310865135665,betweenness=0.111; punto de articulación; corte mínimo (Campus Balzay); percolación: 10 nodos fuera de GCC,puede dejar 10 nodos fuera de la componente gigante; participa en el corte mínimo de Campus Balzay.
