modelo,grado,frecuencia,probabilidad
Red UCuenca,1,113,0.6384180790960452
Red UCuenca,2,22,0.12429378531073447
Red UCuenca,3,6,0.03389830508474576
Red UCuenca,4,7,0.03954802259887006
Red UCuenca,5,9,0.05084745762711865
Red UCuenca,6,7,0.03954802259887006
Red UCuenca,7,4,0.022598870056497175
Red UCuenca,8,3,0.01694915254237288
Red UCuenca,9,1,0.005649717514124294
Red UCuenca,10,1,0.005649717514124294
Red UCuenca,12,2,0.011299435028248588
Red UCuenca,16,1,0.005649717514124294
Red UCuenca,17,1,0.005649717514124294
Barabasi-Albert,1,113,0.6384180790960452
Barabasi-Albert,2,35,0.1977401129943503
Barabasi-Albert,3,8,0.04519774011299435
Barabasi-Albert,4,9,0.05084745762711865
Barabasi-Albert,5,3,0.01694915254237288
Barabasi-Albert,6,1,0.005649717514124294
Barabasi-Albert,7,2,0.011299435028248588
Barabasi-Albert,8,1,0.005649717514124294
Barabasi-Albert,11,2,0.011299435028248588
Barabasi-Albert,14,1,0.005649717514124294
Barabasi-Albert,15,2,0.011299435028248588
