u,v,campus_u,campus_v,capa_u,capa_v,campus_resumen,capas
AETUC-0A-A76,CC-AETUC-D30,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
AETUC-0A-A76,AETUCCF-2A-A79,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
AETUC-0A-A97,CC-AETUC-D30,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
AGRPRI-1A-A19,AGRPRI-1A-D10,Campus Yanuncay,Campus Yanuncay,acceso,agregacion,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,Campus Yanuncay,agregacion,wan,Campus Yanuncay,agregacion <-> wan
AGRPRI-1A-D10,TALL-0A-A12,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,DAN-1A-A11,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,LABMAC-1A-A13,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,ART-0A-A15,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,BLOQUED-0A-A21,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,BIB-2A-A16,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,LAC-0A-A17,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,LAB-1A-A18,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,ANF-0A-A14,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
AGRPRI-1A-D10,CEN-1A-A20,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,Campus Yanuncay,acceso <-> agregacion
ARQ-0A-A84,ARQ-0A-A85,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
ARQ-0A-A85,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-0B-A87,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-0D-A88,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-0D-A88,ARQ-0D-A89,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
ARQ-0D-A90,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-0G-A93-CEPAUC,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-1C-A86,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-1C-A96,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-1E-A91,CC-ARQUITECTURA-D107,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
ARQ-1E-A91,ARQ-1E-A92,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
AUL1-2A-A110,BAL-AUL1-D4,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL1-2A-A111,BAL-AUL1-D4,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL1-3A-A104,BAL-AUL1-D4,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL1-3A-A112,BAL-AUL1-D4,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-01A-A124-SUBLAB2,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-01A-A24-SUB,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A106,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A118,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A119,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A120,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A121,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A122,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
AUL2-0A-A123,BAL-AUL2-D1,Campus Balzay,Campus Balzay,acceso,agregacion,Campus Balzay,acceso <-> agregacion
BAL-AUL2-D1,MICRORED-1A-A109,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-CENTEC-D2,CEA-0A-A108,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-CENTEC-D2,VLIR-0A-A107,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-CENTEC-D2,CTBLOQ1-0A-A101,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-CENTEC-D2,CTBLOQ2-0A-A102,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-CENTEC-D2,CTBLOQ3-0A-A103,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
BAL-EADM-D3,CB-EADMI-D6,Campus Balzay,Campus Balzay,agregacion,agregacion,Campus Balzay,agregacion <-> agregacion
BAL-EADM-D3,QUIN-1A-A117,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
CB-EADMI-D6,EA-1A-A115,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
CB-EADMI-D6,EA-0A-A114,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
CB-EADMI-D6,EA-1A-A116,Campus Balzay,Campus Balzay,agregacion,acceso,Campus Balzay,acceso <-> agregacion
CC-ADM-D40,TEAT-0A-A75,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ADM-D40,CMED-0A-A42,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ADM-D40,CCADM-2A-A43,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ADM-D40,CCADM-2A-A44,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ADM-D40,CCADM-2A-A45,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-BIBLIOTECA-D112,CCBIB-1A-A71,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-BIBLIOTECA-D112,VIN-0A-A72,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ECONOMIA-D51,ECOK2-1A-A52,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ECONOMIA-D51,ECOK1-1A-A101,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ECONOMIA-D51,ECOK1-1A-A102,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-ECONOMIA-D51,TECQUI-0A-A10,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-FILOSOFIA-A-D108,POST-1A-A64,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-FILOSOFIA-A-D108,FILOA-0B-A56,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-FILOSOFIA-A-D108,FILOA-2A-A55,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-FILOSOFIA-B-D111,FILOB-2A-A57,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-FILOSOFIA-B-D111,FILOB-1B-A58,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-JURISPRUDENCIA-D110,JUR-0A-A59,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-JURISPRUDENCIA-D110,JUR-0A-A60,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-JURISPRUDENCIA-D110,JUR-1A-A61,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-JURISPRUDENCIA-D110,JUR-1A-A62,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,MON-0A-A103,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,MON-0A-A104,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,MON-1C-A105,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,MON-1C-A106,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,MON-1B-A67,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-MONJAS-D126,ECOK3-0A-A63,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-PROMAS-D31,PRO-1A-A73,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-PROMAS-D31,CREDU-0B-A94,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-PSICOLOGIA-D125,PSIC-1A-A53,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-PSICOLOGIA-D125,PSIC-2B-A54,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-QUIMICA-D109,QUI-1A-A83,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-QUIMICA-D109,QUI-0A-A78,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CC-QUIMICA-D109,QUI-2A-A82,Campus Central,Campus Central,agregacion,acceso,Campus Central,acceso <-> agregacion
CCJ-1A-A10,CCJ-CJURIDICO-D4,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
CCJ-1A-A11,CCJ-CJURIDICO-D4,Campus Central,Campus Central,acceso,agregacion,Campus Central,acceso <-> agregacion
CCJ-CJURIDICO-D4,INTERNET-MPLS,Campus Central,Nube MPLS,agregacion,wan,Campus Central <-> Nube MPLS,agregacion <-> wan
