comunidad,tamano,campus_dominante,pureza_campus,n_campus_presentes,composicion
0,12,Campus Yanuncay,1.0,1,Campus Yanuncay:12
1,12,Campus Central,1.0,1,Campus Central:12
2,11,Campus Balzay,1.0,1,Campus Balzay:11
3,6,Campus Paraiso,1.0,1,Campus Paraiso:6
4,25,Campus Balzay,0.84,3,Campus Balzay:21; Sede Centro Historico:2; Sede Museo:2
5,7,Campus Central,1.0,1,Campus Central:7
6,20,Campus Paraiso,1.0,1,Campus Paraiso:20
7,31,Campus Central,1.0,1,Campus Central:31
8,8,Campus Central,1.0,1,Campus Central:8
9,9,Campus Paraiso,1.0,1,Campus Paraiso:9
10,7,Campus Paraiso,1.0,1,Campus Paraiso:7
11,6,Campus Central,1.0,1,Campus Central:6
12,5,Campus Central,1.0,1,Campus Central:5
13,18,Campus Central,0.3333333333333333,6,Campus Central:6; Campus Hospitalidad:5; Campus Balzay:3; Campus Paraiso:2; Nube MPLS:1; Campus Yanuncay:1
