ranking,saltos_nodo,saltos_valor,saltos_campus,saltos_capa,latencia_nodo,latencia_valor,latencia_campus,latencia_capa,carga_nodo,carga_valor,carga_campus,carga_capa
1,INTERNET-MPLS,0.27586206896551724,Nube MPLS,wan,INTERNET-MPLS,0.2111451022734089,Nube MPLS,wan,INTERNET-MPLS,13.578144260411994,Nube MPLS,wan
2,DATCC-2A-C3,0.2682926829268293,Campus Central,core,PE2-CENTRAL,0.20543947706314927,Campus Central,wan,CC-AETUC-D30,13.471570084159799,Campus Central,agregacion
3,PE2-CENTRAL,0.26666666666666666,Campus Central,wan,DATCC-2A-C3,0.19936565473493426,Campus Central,core,CC-ARQUITECTURA-D107,13.471570084159799,Campus Central,agregacion
4,FORTIGATE-1800F-CENTRAL,0.25958702064896755,Campus Central,interconexion,PE1-CENTRAL,0.1985335589396503,Campus Central,wan,CC-BIBLIOTECA-D112,13.471570084159799,Campus Central,agregacion
5,PE1-CENTRAL,0.2561863173216885,Campus Central,wan,PE1-BALZAY,0.19492745597519107,Campus Balzay,wan,CC-PROMAS-D31,13.471570084159799,Campus Central,agregacion
6,PE1-BALZAY,0.25106990014265335,Campus Balzay,wan,FORTIGATE-1800F-CENTRAL,0.1931095018652622,Campus Central,interconexion,CC-QUIMICA-D109,13.471570084159799,Campus Central,agregacion
7,DATCC-2A-C2,0.24753867791842477,Campus Central,core,ROUTER-CAMPUS-HUAYNA-CAPAC,0.18895270814321752,Campus Paraiso,wan,DATCC-2A-C3,13.471570084159799,Campus Central,core
8,ROUTER-CAMPUS-HUAYNA-CAPAC,0.24209078404401652,Campus Paraiso,wan,DATCC-2A-C2,0.18643080345320695,Campus Central,core,QUI-0A-A78,13.471570084159799,Campus Central,acceso
9,FORTIGATE-1800F-BALZAY,0.24076607387140903,Campus Balzay,interconexion,PE2-BALZAY,0.18601701632933468,Campus Balzay,wan,PE2-CENTRAL,13.403937630433308,Campus Central,wan
10,PE2-BALZAY,0.23848238482384823,Campus Balzay,wan,ROUTER-CAMPUS-PARAISO,0.18437041692855646,Campus Paraiso,wan,FORTIGATE-1800F-CENTRAL,13.314378570447776,Campus Central,interconexion
