tau,trigger,campus,capa,fallos_totales,fraccion_afectada,generaciones,supera_20pct
0.035,ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,38,0.21468926553672316,4,True
0.035,DATCC-2A-C3,Campus Central,core,13,0.07344632768361582,3,False
0.035,FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,13,0.07344632768361582,2,False
0.035,ROUTER-L2TP-BALZAY,Campus Balzay,wan,13,0.07344632768361582,3,False
0.035,SW-ARUBA-MUSEO,Sede Museo,acceso,13,0.07344632768361582,4,False
0.035,FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,12,0.06779661016949153,2,False
0.035,INTERNET-MPLS,Nube MPLS,wan,12,0.06779661016949153,2,False
0.035,ROUTER-CAMPUS-MUSEO,Sede Museo,wan,12,0.06779661016949153,4,False
0.035,DT-0A-C12,Campus Balzay,core,10,0.05649717514124294,4,False
0.035,PE1-CENTRAL,Campus Central,wan,10,0.05649717514124294,3,False
0.035,ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,10,0.05649717514124294,4,False
0.035,SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,10,0.05649717514124294,4,False
0.035,DATCC-2A-C2,Campus Central,core,9,0.05084745762711865,3,False
0.035,DT-0A-C13,Campus Balzay,core,9,0.05084745762711865,3,False
0.035,PE2-BALZAY,Campus Balzay,wan,9,0.05084745762711865,3,False
