,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14
AETUC-0A-A76,-0.4138386058011321,0.6203016849643086,-0.1885445361496444,0.005572170672663029,-0.01793022772469754,0.06193871545784923,-0.00279388187129453,0.3759578690202791,4.451071682529355e-15,1.1901218734839795e-15,-0.23828177312277055,0.32148756045157045,-0.002292638826351058,0.3205239508487553
AETUC-0A-A97,-0.45743675072450063,0.6648776437631213,-0.2001875026136154,0.0055273982934327835,-0.01731873428695581,0.05896087068620712,-0.002607160081248194,0.3464054054683491,4.064284865259947e-15,1.0263435188038782e-15,-0.20954422297843492,0.27309485826772006,-0.001924991602596881,0.25750851624113275
AETUCCF-2A-A79,-0.3949519238183803,0.6006451027283115,-0.18335635740537223,0.005576659454722721,-0.01813072436131701,0.06297311219133574,-0.002861103558004829,0.38673041629195015,4.587308415787985e-15,1.2137800698978176e-15,-0.24897444120279386,0.3395807406762196,-0.0024301979962575056,0.34411566516568004
AGRPRI-1A-A19,-0.059958431066587735,-0.6044755637669443,-0.7417957795340858,0.015681909720968393,-0.05799922628153408,0.27530299401698904,0.019390679445795003,0.020617736340157018,-2.1222000485191346e-15,-3.308514362416393e-16,-0.0005037816296577765,-0.002424502087587049,-0.0006956844526366363,-0.023324328013733523
AGRPRI-1A-D10,-0.0612072519681708,-0.6081764817578316,-0.7431358100538544,0.015265642495273422,-0.055880296596330536,0.2638054869585538,0.01844732256242411,0.019527096963381316,-1.9376407517764902e-15,-4.32122544137975e-16,-0.00046972560702578635,-0.002236194303460428,-0.0006393992681332122,-0.021165622050222065
ANF-0A-A14,-0.059958431066588776,-0.6044755637669451,-0.7417957795340865,0.015681909720969132,-0.05799922628153304,0.2753029940169855,0.01939067944579457,0.02061773634015741,-2.204579429550094e-15,-3.58610685016483e-16,-0.0005037816296578103,-0.0024245020875878704,-0.0006956844526371264,-0.023324328013733527
ARQ-0A-A84,-0.13905672768082297,0.24690631714971537,-0.07976789150874126,0.0046842201199526635,-0.027096656752591756,0.17618637692314426,0.027755928488006367,-0.91949902316808,-1.2654526125084552e-14,4.386514953331963e-15,0.13960053979657944,-0.11106938821965441,0.00068411700636984,-0.05887051455154126
ARQ-0A-A85,-0.14906641238129079,0.26086646157219023,-0.08391645264043221,0.004788379977511342,-0.027414945402140217,0.17728842731991443,0.02772881099476826,-0.9144988133916933,-1.2715371247474184e-14,4.08218752096355e-15,0.13668604576063387,-0.10757628117931156,0.0006602758251075083,-0.056098971744851546
ARQ-0B-A87,-0.17584853184086535,0.298411745741885,-0.09508872488292215,0.005069251667254548,-0.02826029074391895,0.18011130710135367,0.027615302340957038,-0.8992646546174656,-1.2103908412605346e-14,1.2346856403941413e-15,0.12828265665923003,-0.09752697950651648,0.0005916671936636216,-0.04809998121354034
ARQ-0D-A88,-0.14906641238129115,0.2608664615721916,-0.08391645264043218,0.004788379977511011,-0.0274149454021405,0.17728842731991637,0.02772881099476967,-0.914498813391692,-1.2722970716431786e-14,2.8722220281951407e-15,0.13668604576063548,-0.10757628117931271,0.000660275825108086,-0.05609897174485334
ARQ-0D-A89,-0.1390567276808232,0.2469063171497162,-0.07976789150874171,0.004684220119952371,-0.027096656752591805,0.17618637692314593,0.027755928488008022,-0.9194990231680786,-1.2920338079293533e-14,2.565827036520297e-15,0.1396005397965813,-0.11106938821965624,0.0006841170063704362,-0.05887051455154427
