generacion,nodo,campus,capa
0,ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan
1,ROUTER-CAMPUS-MUSEO,Sede Museo,wan
1,SW-ARUBA-MUSEO,Sede Museo,acceso
2,FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion
2,FORTIGATE-1800F-CENTRAL,Campus Central,interconexion
2,PE1-BALZAY,Campus Balzay,wan
3,AETUC-0A-A76,Campus Central,acceso
3,ARQ-0A-A85,Campus Central,acceso
3,ARQ-0D-A88,Campus Central,acceso
3,ARQ-1E-A91,Campus Central,acceso
3,BAL-EADM-D3,Campus Balzay,agregacion
3,CC-AETUC-D30,Campus Central,agregacion
3,CC-BIBLIOTECA-D112,Campus Central,agregacion
3,CC-FILOSOFIA-B-D111,Campus Central,agregacion
3,CC-PROMAS-D31,Campus Central,agregacion
3,CC-PSICOLOGIA-D125,Campus Central,agregacion
3,CCJ-CJURIDICO-D4,Campus Central,agregacion
3,CP-ENFERMERIA-D1,Campus Paraiso,agregacion
3,DATCC-2A-C3,Campus Central,core
3,DT-0A-C13,Campus Balzay,core
3,ENF-2B-A22,Campus Paraiso,acceso
3,INTERNET-MPLS,Nube MPLS,wan
3,INV-1B-A62,Campus Paraiso,acceso
3,MON-1B-A67,Campus Central,acceso
3,ODO-0B-A52,Campus Paraiso,acceso
3,ODO-0C-A53,Campus Paraiso,acceso
3,PE1-CENTRAL,Campus Central,wan
3,PE2-BALZAY,Campus Balzay,wan
3,PE2-CENTRAL,Campus Central,wan
3,POS-2C-A33,Campus Paraiso,acceso
3,POST-1A-A64,Campus Central,acceso
3,POST-1A-A65,Campus Central,acceso
3,PRO-1A-A73,Campus Central,acceso
3,QUI-2A-A82,Campus Central,acceso
3,QUIN-1A-A117,Campus Balzay,acceso
3,ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan
3,TECMED-1A-A41,Campus Paraiso,acceso
3,TECQUI-0A-A10,Campus Central,acceso
