lambda,tamano_final_medio,std,prob_brote_mayor_20pct,susceptibilidad_finita
0.05,0.006361581920903956,0.0025675904036605215,0.0,0.18342546549582286
0.1,0.007740112994350284,0.007358728295099641,0.0,1.2383160481547035
0.15,0.008214689265536724,0.007493925542045635,0.0,1.210043195055861
0.2,0.009954802259887006,0.01245898139419824,0.0,2.7599785268607584
0.25,0.01128813559322034,0.015711358469428685,0.0,3.8706020649908415
0.3,0.013988700564971755,0.02384760292937453,0.004,7.195903924164967
0.35,0.018587570621468926,0.029817241108010078,0.002,8.466142010464697
0.4,0.022316384180790964,0.03683534236820931,0.006,10.761649882042567
0.45,0.025694915254237286,0.04526127459344517,0.018,14.111709787208543
0.5,0.03559322033898306,0.059483692405498965,0.032,17.595508477272002
0.55,0.03813559322033898,0.06962396879317406,0.06,22.49884955095376
0.6,0.04867796610169491,0.0828153539981252,0.084,24.93805438174399
0.65,0.05315254237288135,0.08952042408171071,0.104,26.686614726050742
0.7,0.0487909604519774,0.08554164805172702,0.08,26.545390920794812
0.75,0.05962711864406779,0.09946696360628413,0.108,29.368865075232907
0.8,0.0715593220338983,0.11502517657062353,0.144,32.72599549327615
0.85,0.0854915254237288,0.12769214416607758,0.18,33.75814383194092
0.9,0.07735593220338984,0.1302384204132453,0.168,38.811272559726525
0.95,0.08922033898305085,0.1297201595977716,0.196,33.38292187211302
1.0,0.10990960451977401,0.15885948224131452,0.24,40.64095519094115
1.05,0.10561581920903956,0.15034796558227145,0.24,37.88256753155395
1.1,0.12185310734463277,0.17465402409767644,0.258,44.309194055767314
1.15,0.12772881355932203,0.17695907723047266,0.278,43.39403931713392
1.2,0.12932203389830507,0.1786631471666941,0.276,43.688858713495144
1.25,0.1428813559322034,0.1908705559522294,0.296,45.1310648184467
1.3,0.1519774011299435,0.19811855527677527,0.316,45.71350880199059
1.35,0.16835028248587572,0.20614454992985776,0.344,44.67896784238992
1.4,0.17285875706214687,0.2086820447961083,0.356,44.5914964980294
1.45,0.17309604519774013,0.21464776878764805,0.33,47.11279586393885
1.5,0.18144632768361582,0.22188732003452286,0.368,48.02750799893473
