desde,hacia,flujo_mbps,costo_unitario,costo_total_arco,rol,capacidad_mbps
AUL2-01A-A124-SUBLAB2,BAL-AUL2-D1,1000,1,1000,principal,1000
AUL2-01A-A24-SUB,BAL-AUL2-D1,1000,1,1000,principal,1000
AUL2-0A-A118,BAL-AUL2-D1,1000,1,1000,principal,1000
BAL-AUL2-D1,DT-0A-C12,3000,1,3000,principal,10000
BAL-CENTEC-D2,DT-0A-C12,2000,1,2000,principal,10000
CC-ECONOMIA-D51,DATCC-2A-C3,1000,1,1000,principal,10000
CC-FILOSOFIA-B-D111,DATCC-2A-C3,1000,1,1000,principal,10000
CC-PSICOLOGIA-D125,DATCC-2A-C3,1000,1,1000,principal,10000
CCJ-1A-A10,CCJ-CJURIDICO-D4,1000,1,1000,principal,1000
CCJ-1A-A11,CCJ-CJURIDICO-D4,1000,1,1000,principal,1000
CCJ-CJURIDICO-D4,INTERNET-MPLS,2000,1,2000,inferido,10000
CTBLOQ1-0A-A101,BAL-CENTEC-D2,1000,1,1000,principal,1000
CTBLOQ2-0A-A102,BAL-CENTEC-D2,1000,1,1000,principal,1000
DATCC-2A-C3,PE2-CENTRAL,3000,1,3000,wan,20000
DT-0A-C12,FORTIGATE-1800F-BALZAY,5000,1,5000,wan,10000
ECOK1-1A-A101,CC-ECONOMIA-D51,1000,1,1000,principal,1000
FILOB-1B-A58,CC-FILOSOFIA-B-D111,1000,1,1000,principal,1000
FORTIGATE-1800F-BALZAY,PE1-BALZAY,5000,1,5000,wan,10000
PE1-BALZAY,INTERNET-MPLS,5000,1,5000,wan,10000
PE2-CENTRAL,INTERNET-MPLS,3000,1,3000,wan,10000
PSIC-1A-A53,CC-PSICOLOGIA-D125,1000,1,1000,principal,1000
