id,label,campus,capa,comunidad_louvain,cluster_kmeans
AETUC-0A-A76,AETUC-0A-A76,Campus Central,acceso,7,4
AETUC-0A-A97,AETUC-0A-A97,Campus Central,acceso,7,4
AETUCCF-2A-A79,AETUCCF-2A-A79,Campus Central,acceso,7,4
AGRPRI-1A-A19,AGRPRI-1A-A19,Campus Yanuncay,acceso,0,2
AGRPRI-1A-D10,AGRPRI-1A-D10,Campus Yanuncay,agregacion,0,2
ANF-0A-A14,ANF-0A-A14,Campus Yanuncay,acceso,0,2
ARQ-0A-A84,ARQ-0A-A84,Campus Central,acceso,1,3
ARQ-0A-A85,ARQ-0A-A85,Campus Central,acceso,1,3
ARQ-0B-A87,ARQ-0B-A87,Campus Central,acceso,1,3
ARQ-0D-A88,ARQ-0D-A88,Campus Central,acceso,1,3
ARQ-0D-A89,ARQ-0D-A89,Campus Central,acceso,1,3
ARQ-0D-A90,ARQ-0D-A90,Campus Central,acceso,1,3
ARQ-0G-A93-CEPAUC,ARQ-0G-A93-CEPAUC,Campus Central,acceso,1,3
ARQ-1C-A86,ARQ-1C-A86,Campus Central,acceso,1,3
ARQ-1C-A96,ARQ-1C-A96,Campus Central,acceso,1,3
ARQ-1E-A91,ARQ-1E-A91,Campus Central,acceso,1,3
ARQ-1E-A92,ARQ-1E-A92,Campus Central,acceso,1,3
ART-0A-A15,ART-0A-A15,Campus Yanuncay,acceso,0,2
AUL1-2A-A110,AUL1-2A-A110,Campus Balzay,acceso,4,13
AUL1-2A-A111,AUL1-2A-A111,Campus Balzay,acceso,4,13
AUL1-3A-A104,AUL1-3A-A104,Campus Balzay,acceso,4,13
AUL1-3A-A112,AUL1-3A-A112,Campus Balzay,acceso,4,13
AUL2-01A-A124-SUBLAB2,AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,2,0
AUL2-01A-A24-SUB,AUL2-01A-A24-SUB,Campus Balzay,acceso,2,0
AUL2-0A-A106,AUL2-0A-A106,Campus Balzay,acceso,2,0
AUL2-0A-A118,AUL2-0A-A118,Campus Balzay,acceso,2,0
AUL2-0A-A119,AUL2-0A-A119,Campus Balzay,acceso,2,0
AUL2-0A-A120,AUL2-0A-A120,Campus Balzay,acceso,2,0
AUL2-0A-A121,AUL2-0A-A121,Campus Balzay,acceso,2,0
AUL2-0A-A122,AUL2-0A-A122,Campus Balzay,acceso,2,0
AUL2-0A-A123,AUL2-0A-A123,Campus Balzay,acceso,2,0
BAL-AUL1-D4,BAL-AUL1-D4,Campus Balzay,agregacion,4,13
BAL-AUL2-D1,BAL-AUL2-D1,Campus Balzay,agregacion,2,0
BAL-CENTEC-D2,BAL-CENTEC-D2,Campus Balzay,agregacion,4,13
BAL-EADM-D3,BAL-EADM-D3,Campus Balzay,agregacion,4,1
BIB-2A-A16,BIB-2A-A16,Campus Yanuncay,acceso,0,2
BLOQUED-0A-A21,BLOQUED-0A-A21,Campus Yanuncay,acceso,0,2
CB-EADMI-D6,CB-EADMI-D6,Campus Balzay,agregacion,4,1
CC-ADM-D40,CC-ADM-D40,Campus Central,agregacion,7,4
CC-AETUC-D30,CC-AETUC-D30,Campus Central,agregacion,7,4
CC-ARQUITECTURA-D107,CC-ARQUITECTURA-D107,Campus Central,agregacion,1,3
CC-BIBLIOTECA-D112,CC-BIBLIOTECA-D112,Campus Central,agregacion,7,4
CC-BLOQUE-IQ,CC-BLOQUE-IQ,Campus Central,agregacion,7,4
CC-ECONOMIA-D51,CC-ECONOMIA-D51,Campus Central,agregacion,5,8
CC-FILOSOFIA-A-D108,CC-FILOSOFIA-A-D108,Campus Central,agregacion,11,10
CC-FILOSOFIA-B-D111,CC-FILOSOFIA-B-D111,Campus Central,agregacion,7,4
CC-JURISPRUDENCIA-D110,CC-JURISPRUDENCIA-D110,Campus Central,agregacion,7,4
CC-MONJAS-D126,CC-MONJAS-D126,Campus Central,agregacion,8,4
CC-PROMAS-D31,CC-PROMAS-D31,Campus Central,agregacion,7,4
CC-PSICOLOGIA-D125,CC-PSICOLOGIA-D125,Campus Central,agregacion,7,4
CC-QUIMICA-D109,CC-QUIMICA-D109,Campus Central,agregacion,12,4
CCADM-2A-A43,CCADM-2A-A43,Campus Central,acceso,7,4
CCADM-2A-A44,CCADM-2A-A44,Campus Central,acceso,7,4
CCADM-2A-A45,CCADM-2A-A45,Campus Central,acceso,7,4
CCBIB-1A-A71,CCBIB-1A-A71,Campus Central,acceso,7,4
CCJ-1A-A10,CCJ-1A-A10,Campus Central,acceso,13,6
CCJ-1A-A11,CCJ-1A-A11,Campus Central,acceso,13,6
CCJ-CJURIDICO-D4,CCJ-CJURIDICO-D4,Campus Central,agregacion,13,6
CEA-0A-A108,CEA-0A-A108,Campus Balzay,acceso,4,13
CEN-1A-A20,CEN-1A-A20,Campus Yanuncay,acceso,0,2
CENDIA-0A-A19,CENDIA-0A-A19,Campus Paraiso,acceso,3,7
CMED-0A-A42,CMED-0A-A42,Campus Central,acceso,7,4
CP-EADMINA1-D6,CP-EADMINA1-D6,Campus Paraiso,agregacion,6,11
CP-ENFERMERIA-D1,CP-ENFERMERIA-D1,Campus Paraiso,agregacion,6,7
CP-INVESTIGACION-D5,CP-INVESTIGACION-D5,Campus Paraiso,agregacion,3,7
CP-ODONTOLOGIA-D4,CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,9,9
CP-POSGRADO-D2,CP-POSGRADO-D2,Campus Paraiso,agregacion,10,12
CP-TECMEDICO-D3,CP-TECMEDICO-D3,Campus Paraiso,agregacion,6,5
CPAR-C10,CPAR-C10,Campus Paraiso,core,6,7
CREDU-0B-A94,CREDU-0B-A94,Campus Central,acceso,7,4
CTBLOQ1-0A-A101,CTBLOQ1-0A-A101,Campus Balzay,acceso,4,13
CTBLOQ2-0A-A102,CTBLOQ2-0A-A102,Campus Balzay,acceso,4,13
CTBLOQ3-0A-A103,CTBLOQ3-0A-A103,Campus Balzay,acceso,4,13
DAN-1A-A11,DAN-1A-A11,Campus Yanuncay,acceso,0,2
DATCC-2A-C2,DATCC-2A-C2,Campus Central,core,7,4
DATCC-2A-C3,DATCC-2A-C3,Campus Central,core,7,4
DT-0A-C12,DT-0A-C12,Campus Balzay,core,4,13
DT-0A-C13,DT-0A-C13,Campus Balzay,core,4,13
EA-0A-A114,EA-0A-A114,Campus Balzay,acceso,4,1
EA-1A-A115,EA-1A-A115,Campus Balzay,acceso,4,1
EA-1A-A116,EA-1A-A116,Campus Balzay,acceso,4,1
ECOK1-1A-A101,ECOK1-1A-A101,Campus Central,acceso,5,8
ECOK1-1A-A102,ECOK1-1A-A102,Campus Central,acceso,5,8
