modelo,paso,desde,hacia,campus_desde,campus_hacia,capacidad_mbps,trafico_mbps,peso_arista,peso_acumulado
saltos,1,ENF-2B-A122,ENF-2B-A22,Campus Paraiso,Campus Paraiso,1000.0,51.99,1.0,1.0
saltos,2,ENF-2B-A22,CP-ENFERMERIA-D1,Campus Paraiso,Campus Paraiso,1000.0,48.66,1.0,2.0
saltos,3,CP-ENFERMERIA-D1,CPAR-C10,Campus Paraiso,Campus Paraiso,10000.0,147.9,1.0,3.0
saltos,4,CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,Campus Paraiso,10000.0,317.83,1.0,4.0
saltos,5,ROUTER-CAMPUS-HUAYNA-CAPAC,INTERNET-MPLS,Campus Paraiso,Nube MPLS,10000.0,164.8,1.0,5.0
saltos,6,INTERNET-MPLS,PE2-CENTRAL,Nube MPLS,Campus Central,10000.0,164.8,1.0,6.0
saltos,7,PE2-CENTRAL,DATCC-2A-C3,Campus Central,Campus Central,20000.0,329.6,1.0,7.0
saltos,8,DATCC-2A-C3,CC-FILOSOFIA-A-D108,Campus Central,Campus Central,10000.0,220.7,1.0,8.0
saltos,9,CC-FILOSOFIA-A-D108,POST-1A-A64,Campus Central,Campus Central,1000.0,200.42,1.0,9.0
saltos,10,POST-1A-A64,POST-1A-A65,Campus Central,Campus Central,1000.0,34.23,1.0,10.0
saltos,11,POST-1A-A65,POST-2A-A66,Campus Central,Campus Central,1000.0,2.67,1.0,11.0
latencia,1,POST-2A-A66,POST-1A-A65,Campus Central,Campus Central,1000.0,2.67,2.0,2.0
latencia,2,POST-1A-A65,POST-1A-A64,Campus Central,Campus Central,1000.0,34.23,2.0,4.0
latencia,3,POST-1A-A64,CC-FILOSOFIA-A-D108,Campus Central,Campus Central,1000.0,200.42,2.0,6.0
latencia,4,CC-FILOSOFIA-A-D108,DATCC-2A-C2,Campus Central,Campus Central,10000.0,0.0,1.1,7.1
latencia,5,DATCC-2A-C2,FORTIGATE-1800F-CENTRAL,Campus Central,Campus Central,10000.0,164.8,1.1,8.2
latencia,6,FORTIGATE-1800F-CENTRAL,FORTIGATE-1800F-BALZAY,Campus Central,Campus Balzay,1000.0,16.48,2.0,10.2
latencia,7,FORTIGATE-1800F-BALZAY,DT-0A-C12,Campus Balzay,Campus Balzay,10000.0,164.8,1.1,11.299999999999999
latencia,8,DT-0A-C12,CB-EADMI-D6,Campus Balzay,Campus Balzay,10000.0,7.18,1.1,12.399999999999999
latencia,9,CB-EADMI-D6,BAL-EADM-D3,Campus Balzay,Campus Balzay,10000.0,19.63,1.1,13.499999999999998
latencia,10,BAL-EADM-D3,QUIN-1A-A117,Campus Balzay,Campus Balzay,1000.0,54.06,2.0,15.499999999999998
latencia,11,QUIN-1A-A117,QUIN-1A-A128,Campus Balzay,Campus Balzay,1000.0,16.48,2.0,17.5
carga,1,ECOK1-1A-A102,CC-ECONOMIA-D51,Campus Central,Campus Central,1000.0,268.16,0.26816,0.26816
carga,2,CC-ECONOMIA-D51,DATCC-2A-C2,Campus Central,Campus Central,10000.0,0.0,0.0,0.26816
carga,3,DATCC-2A-C2,CC-FILOSOFIA-A-D108,Campus Central,Campus Central,10000.0,0.0,0.0,0.26816
carga,4,CC-FILOSOFIA-A-D108,POST-1A-A64,Campus Central,Campus Central,1000.0,200.42,0.20042,0.46858
carga,5,POST-1A-A64,POST-1A-A65,Campus Central,Campus Central,1000.0,34.23,0.03423,0.50281
carga,6,POST-1A-A65,POST-2A-A66,Campus Central,Campus Central,1000.0,2.67,0.00267,0.5054799999999999
