ranking,nodo,campus,capa,betweenness
1,DATCC-2A-C3,Campus Central,core,0.4467722892187181
2,CPAR-C10,Campus Paraiso,core,0.4042857142857143
3,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,0.36629779942279944
4,INTERNET-MPLS,Nube MPLS,wan,0.3656771541950111
5,PE2-CENTRAL,Campus Central,wan,0.2881219593898162
6,DT-0A-C13,Campus Balzay,core,0.2235036332714906
7,FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,0.18628854875283454
8,DATCC-2A-C2,Campus Central,core,0.17059910327767486
9,FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,0.1490211296639867
10,PE2-BALZAY,Campus Balzay,wan,0.14603666769738194
