comunidad_gamma1,tamano_gamma1,gamma_comparado,n_subcomunidades,tamano_mayor_subgrupo,fraccion_mayor_subgrupo
0,12,1.25,1,12,1.0
1,12,1.25,1,12,1.0
2,11,1.25,1,11,1.0
3,6,1.25,1,6,1.0
4,25,1.25,1,25,1.0
5,7,1.25,1,7,1.0
6,20,1.25,2,14,0.7
7,31,1.25,1,31,1.0
8,8,1.25,1,8,1.0
9,9,1.25,1,9,1.0
10,7,1.25,1,7,1.0
11,6,1.25,1,6,1.0
12,5,1.25,1,5,1.0
13,18,1.25,2,13,0.7222222222222222
0,12,1.5,1,12,1.0
1,12,1.5,1,12,1.0
2,11,1.5,1,11,1.0
3,6,1.5,1,6,1.0
4,25,1.5,2,19,0.76
5,7,1.5,1,7,1.0
6,20,1.5,2,14,0.7
7,31,1.5,2,26,0.8387096774193549
8,8,1.5,1,8,1.0
9,9,1.5,1,9,1.0
10,7,1.5,1,7,1.0
11,6,1.5,1,6,1.0
12,5,1.5,1,5,1.0
13,18,1.5,2,13,0.7222222222222222
0,12,2.0,1,12,1.0
1,12,2.0,1,12,1.0
2,11,2.0,1,11,1.0
3,6,2.0,1,6,1.0
4,25,2.0,3,16,0.64
5,7,2.0,1,7,1.0
6,20,2.0,2,11,0.55
7,31,2.0,5,12,0.3870967741935484
8,8,2.0,1,8,1.0
9,9,2.0,1,9,1.0
10,7,2.0,1,7,1.0
11,6,2.0,1,6,1.0
12,5,2.0,1,5,1.0
13,18,2.0,3,10,0.5555555555555556
